Name,Portion,Calories
Absinthe ,1 1/2 fl. oz. (44 ml),153 cal
Advocaat ,1 1/2 fl. oz. (44 ml),125 cal
Amaretto ,1 shot (25 ml),78 cal
Applejack ,1 1/2 fl. oz. (44 ml),103 cal
Asti ,1 glass (100 ml),138 cal
Baileys ,1 1/2 fl. oz. (44 ml),144 cal
Bailey’s Irish Cream ,1 1/2 fl. oz. (44 ml),144 cal
Beer ,1 can (355 ml),153 cal
Blue Curacao ,1 fl. oz. (30 ml),73 cal
Bourbon ,1 1/2 fl. oz. (44 ml),103 cal
Brandy ,1 1/2 fl. oz. (44 ml),94 cal
Canadian Whiskey ,1 1/2 fl. oz. (44 ml),95 cal
Chambord ,1 glass (150 ml),522 cal
Champagne ,1 glass (100 ml),75 cal
Cider ,1 glass (150 ml),74 cal
Cognac ,1 1/2 fl. oz. (44 ml),103 cal
Cointreau ,1 1/2 fl. oz. (44 ml),141 cal
Drambuie ,1 1/2 fl. oz. (44 ml),158 cal
Frangelico ,1 1/2 fl. oz. (44 ml),105 cal
Gin ,1 shot (25 ml),66 cal
Glenfiddich ,1 1/2 fl. oz. (44 ml),101 cal
Grand Marnier ,1 1/2 fl. oz. (44 ml),111 cal
Irish Whiskey ,1 1/2 fl. oz. (44 ml),103 cal
Jack Daniel’s ,1 1/2 fl. oz. (44 ml),64 cal
Jagermeister ,1 shot (25 ml),63 cal
Jim Beam ,1 1/2 fl. oz. (44 ml),98 cal
Kahlua ,1 shot (25 ml),45 cal
Liqueur ,1 shot (25 ml),63 cal
Liquor ,1 shot (25 ml),63 cal
Midori ,1 fl. oz. (30 ml),80 cal
Prosecco ,1 glass (100 ml),66 cal
Punch ,1 cup (237 ml),147 cal
Red Wine ,1 glass (150 ml),128 cal
Rose Wine ,1 glass (150 ml),107 cal
Rum ,1 1/2 fl. oz. (44 ml),102 cal
Sambuca ,1 shot (25 ml),83 cal
Sangria ,1 glass (250 ml),240 cal
Scotch ,1 1/2 fl. oz. (44 ml),98 cal
Sherry ,1 1/2 fl. oz. (44 ml),51 cal
Sloe Gin ,1 shot (25 ml),83 cal
Southern Comfort ,1 1/2 fl. oz. (44 ml),109 cal
Tequila ,1 shot (25 ml),28 cal
Triple Sec ,1 glass (150 ml),230 cal
Vermouth ,1 1/2 fl. oz. (44 ml),57 cal
Vodka ,1 shot (25 ml),58 cal
Whisky ,1 1/2 fl. oz. (44 ml),110 cal
White Wine ,1 glass (150 ml),123 cal
