Name,Portion,Calories
Agar-Agar ,1 tbsp (5 g),1 cal
Agave Syrup ,1/4 cup (55 ml),171 cal
All Purpose Flour ,1 cup (120 ml),437 cal
Almond Extract ,1 tbsp (8 ml),21 cal
Almonds ,1 cup (92 g),487 cal
Apple Pie Filling ,1 serving (60 g),60 cal
Baking Powder ,1 tsp (4.6 g),2 cal
Baking Soda ,1 tsp (4.6 g),0 cal
Bread Flour ,1 cup (137 g),495 cal
Brittle ,1 oz. (28.4 g),166 cal
Brown Sugar ,1 cup (220 g),869 cal
Buttermilk ,1 cup (245 ml),152 cal
Butterscotch Chips ,1 cup (170 g),916 cal
Cake Flour ,1 cup (137 g),496 cal
Candied Orange Peel ,1 tbsp (6 g),6 cal
Cane Sugar ,1 tbsp (5 g),19 cal
Chocolate Chips ,1 tbsp (15 g),70 cal
Chocolate Sprinkles ,1 tbsp (5 g),25 cal
Cocoa Powder ,1 tbsp (5.4 g),11 cal
Coconut Flakes ,1 cup (85 g),388 cal
Coconut Milk ,1 cup (240 ml),120 cal
Corn Flour ,1 cup (117 g),422 cal
Corn Syrup ,1 tbsp (19 ml),53 cal
Cornmeal ,1 cup (138 g),500 cal
Cornstarch ,1 cup (128 g),488 cal
Couverture ,1 oz. (28.4 g),168 cal
Cream Cheese ,1 serving (20 g),11 cal
Cream of Tartar ,1 tbsp (15 g),39 cal
Crystallized Ginger ,1 tbsp (5.2 g),17 cal
Custard Powder ,1 tbsp (17.5 g),57 cal
Dark Rum ,1 fl. oz. (28 ml),60 cal
Dextrose ,1 tsp (3.2 g),11 cal
Dried Apricots ,"1 cup, halves (130 g)",313 cal
Dried Cranberries ,1/3 cup (40 g),123 cal
Dried Figs ,1 fig (8.4 g),20 cal
Dried Prunes ,"1 cup, pitted (248 g)",265 cal
Duck Egg ,1 egg (70 g),130 cal
Egg ,1 egg (60 g),58 cal
Egg Nog ,1 cup (254 g),224 cal
Egg White ,1 egg white (25 g),3 cal
Egg Yolk ,1 egg yolk (16 g),52 cal
Evaporated Milk ,1 cup (252 g),338 cal
Flour ,1 cup (120 g),437 cal
Fructose ,1 tsp (4 g),15 cal
Gelatin ,1 tbsp (7 g),23 cal
Glucose ,1 tbsp (20 g),57 cal
Glucose Syrup ,1 oz. (28.4 g),108 cal
Granulated Sugar ,1 packet (2.8 g),8 cal
Ground Cinnamon ,1 tsp (2.6 g),5 cal
Hazelnuts ,"1 cup, ground (75 g)",471 cal
Heavy Cream ,"1 cup, whipped (120 g)",414 cal
Jaggery ,1 tbsp (12 g),46 cal
Lemon Pie Filling ,1 oz. (28.4 g),40 cal
Malt Powder ,1 cup (162 g),585 cal
Malted Milk ,1 tbsp (7 g),28 cal
Maltitol ,1 tsp (4.5 g),8 cal
Maltodextrin ,1 tsp (3.2 g),11 cal
Maltose ,1 tbsp (13 g),45 cal
Maple Syrup ,60 millilitre (80 ml),216 cal
Molasses ,1 cup (337 g),977 cal
Nonpareils ,1 tbsp (5 g),24 cal
Peppermint Extract ,1 tsp (5 ml),0 cal
Poppy Seeds ,1 tbsp (8.8 g),42 cal
Powdered Milk ,1 cup (68 g),337 cal
Powdered Sugar ,"1 cup, unsifted (120 g)",467 cal
Protein Powder ,1 tbsp (11 g),45 cal
Raisins ,1 cup (165 g),782 cal
Rice Milk ,1 cup (245 ml),120 cal
Rock Sugar ,1 tsp (4 g),25 cal
Rolled Oats ,1 cup (156 g),599 cal
Rum ,1 serving (40 ml),98 cal
Semolina Flour ,1 cup (120 g),420 cal
Sesame Seeds ,1 cup (144 g),825 cal
Shredded Coconut ,1 cup (93 g),466 cal
Sorbitol ,1 tsp (4 g),15 cal
Soy Milk ,1 cup (243 ml),100 cal
Soy Protein Powder ,1 oz. (28.4 g),95 cal
Sprinkles ,1 tsp (2 g),10 cal
Starch ,1 cup (128 g),488 cal
Strawberry Preserves ,1 tbsp (20 g),56 cal
Sucrose ,1 tsp (4 g),15 cal
Sugar ,1 tsp (5 g),20 cal
Sunflower Seeds ,1 serving (20 g),23 cal
Sweetened Condensed Milk ,1 cup (306 ml),982 cal
Sweetener ,1 packet (1 g),4 cal
Unsalted Butter ,1 cup (227 g),1628 cal
Vanilla Extract ,1 tbsp (13 ml),37 cal
Vanilla Sugar ,1 tsp (2.4 g),7 cal
Vegetable Oil ,1 tbsp (13.6 g),115 cal
Vegetable Shortening ,1 tbsp (12.8 g),106 cal
Walnuts ,1 walnut (20 g),26 cal
Whole Milk ,1 cup (244 ml),149 cal
Whole Wheat Flour ,1 cup (120 g),408 cal
Xylitol ,1 tsp (4 g),10 cal
