Name,Portion,Calories
Beef ,6 oz. (168 g),287 cal
Beef Brisket ,1 piece (178 g),244 cal
Beef Fillet ,6 oz. (168 g),318 cal
Beef Goulash ,1 cup (227 g),279 cal
Beef Minute Steak ,6 oz. (168 g),223 cal
Beef Neck ,1 piece (224 g),477 cal
Beef Pancreas ,1 piece (222 g),602 cal
Beef Patty ,1 patty  (64 g),158 cal
Beef Prime Rib ,1 piece (278 g),1123 cal
Beef Ribs ,1 rib (340 g),666 cal
Beef Sirloin ,1 serving (85 g),155 cal
Beef Suet ,1 oz. (28 g),239 cal
Beef Tallow ,1 cup (205 g),1849 cal
Beef Thymus ,1 piece (381 g),1215 cal
Beef Tripe ,1 serving (85 g),80 cal
Chuck Roast ,1 piece (224 g),316 cal
Chuck Steak ,1 piece (340 g),466 cal
Filet Mignon ,6 oz. (168 g),348 cal
Flank Steak ,1 steak (320 g),621 cal
Ground Beef ,6 oz. (168 g),405 cal
Ground Chuck ,6 oz. (168 g),420 cal
Ground Round ,6 oz. (168 g),356 cal
Minced Veal ,6 oz. (168 g),240 cal
Porterhouse Steak ,1 steak (320 g),790 cal
Rib Eye Steak ,1 steak (281 g),610 cal
Roast Beef ,1 slice (341 g),638 cal
Rump Steak ,1 steak (205 g),351 cal
Skirt Steak ,6 oz. (168 g),344 cal
Stew Beef ,1 lb. (454 g),867 cal
Strip Steak ,3 slices (34 g),40 cal
T-Bone-Steak ,6 oz. (168 g),371 cal
Veal ,1 piece (291 g),821 cal
Veal Breast ,1 piece (291 g),821 cal
Veal Leg ,1 piece (272 g),574 cal
Veal Roast Beef ,1 piece (208 g),364 cal
Veal Shank ,1 piece (223 g),395 cal
Veal Shoulder ,1 piece (283 g),518 cal
Veal Sirloin ,1 piece (183 g),373 cal
