Name,Portion,Calories
Ale ,1 can/bottle (354 ml),124 cal
Altbier ,1 can/bottle (354 ml),152 cal
Bass ,1 can/bottle (354 ml),159 cal
Beck’s ,1 can/bottle (354 ml),138 cal
Beer ,1 can/bottle (354 ml),152 cal
Blue Moon ,1 can/bottle (354 ml),170 cal
Bock Beer ,1 can/bottle (354 ml),177 cal
Buckler (N.A.) ,1 can/bottle (354 ml),74 cal
Bud Ice ,1 can/bottle (354 ml),124 cal
Bud Light ,1 can/bottle (354 ml),103 cal
Bud Light Chelada ,1 can/bottle (354 ml),152 cal
Bud Light Lime ,1 can/bottle (354 ml),120 cal
Bud Select ,1 can/bottle (354 ml),99 cal
Bud Select ,55 1 can/bottle (354 ml),53 cal
Budweiser ,1 can/bottle (354 ml),145 cal
Budweiser Chelada ,1 can/bottle (354 ml),184 cal
Busch ,1 can/bottle (354 ml),131 cal
Busch Light ,1 can/bottle (354 ml),96 cal
Busch N.A. ,1 can/bottle (354 ml),60 cal
Carlsberg ,1 can/bottle (354 ml),113 cal
Clausthaler (N.A.) ,1 can/bottle (354 ml),92 cal
Colt ,45 1 can/bottle (354 ml),156 cal
Coors ,1 can/bottle (354 ml),149 cal
Coors Light ,1 can/bottle (354 ml),103 cal
Coors N.A. ,1 can/bottle (354 ml),64 cal
Corona ,1 can/bottle (354 ml),149 cal
Dark Beer ,1 can/bottle (354 ml),163 cal
Genesee Cream Ale ,1 can/bottle (354 ml),163 cal
Ginger Beer ,1 can/bottle (354 ml),149 cal
Guinness ,1 pint (568 ml),199 cal
Heineken ,1 can/bottle (354 ml),124 cal
Honey Brown ,1 can/bottle (354 ml),149 cal
Hurricane High Gravity ,1 can/bottle (354 ml),138 cal
IPA ,1 can/bottle (354 ml),181 cal
Keystone Ice ,1 can/bottle (354 ml),142 cal
Keystone Light ,1 can/bottle (354 ml),103 cal
Koelsch ,1 can/bottle (354 ml),152 cal
Labatt ,1 can/bottle (354 ml),152 cal
Lager Beer ,1 can/bottle (354 ml),152 cal
Land Shark ,1 can/bottle (354 ml),149 cal
Light Beer ,1 can/bottle (354 ml),103 cal
Lowenbrau ,1 can/bottle (354 ml),159 cal
Malt Beer ,1 can/bottle (354 ml),131 cal
Michelob Amber Bock ,1 can/bottle (354 ml),166 cal
Michelob Lager ,1 can/bottle (354 ml),156 cal
Michelob Light ,1 can/bottle (354 ml),113 cal
Michelob Ultra ,1 can/bottle (354 ml),96 cal
Michelob Ultra Amber ,1 can/bottle (354 ml),92 cal
Michelob Ultra Lime Cactus ,1 can/bottle (354 ml),96 cal
Miller Chill ,1 can/bottle (354 ml),110 cal
Miller Genuine Draft ,1 can/bottle (354 ml),142 cal
Miller High Life ,1 can/bottle (354 ml),142 cal
Miller High Life Light ,1 can/bottle (354 ml),110 cal
Miller Lite ,1 can/bottle (354 ml),96 cal
Milwaukee’s Best ,1 can/bottle (354 ml),127 cal
Milwaukee’s Best Light ,1 can/bottle (354 ml),99 cal
Molson ,1 can/bottle (354 ml),149 cal
Natural Ice ,1 can/bottle (354 ml),156 cal
Natural Light ,1 can/bottle (354 ml),96 cal
Newcastle ,1 can/bottle (354 ml),138 cal
Non-alcoholic Beer ,1 can/bottle (354 ml),131 cal
Old Milwaukee ,1 can/bottle (354 ml),145 cal
Old Milwaukee N.A. ,1 can/bottle (354 ml),57 cal
Olde English ,1 can/bottle (354 ml),159 cal
O’Doul’s (N.A.) ,1 can/bottle (354 ml),67 cal
Pabst Blue Ribbon ,1 can/bottle (354 ml),145 cal
Pale Ale ,1 can/bottle (354 ml),149 cal
Pilsner ,1 can/bottle (354 ml),152 cal
Porter ,1 can/bottle (354 ml),191 cal
Redbridge (Gluten-free) ,1 can/bottle (354 ml),159 cal
Rolling Rock ,1 can/bottle (354 ml),131 cal
Rolling Rock Light ,1 can/bottle (354 ml),106 cal
Root Beer ,1 can/bottle (354 ml),145 cal
Samuel Adams ,1 can/bottle (354 ml),159 cal
Shock Top ,1 can/bottle (354 ml),166 cal
Shock Top Raspberry Wheat ,1 can/bottle (354 ml),177 cal
Sierra Nevada Strong ,1 can/bottle (354 ml),219 cal
Sparks ,1 can/bottle (354 ml),262 cal
St. Pauli Girl ,1 can/bottle (354 ml),149 cal
Steel Reserve ,1 can/bottle (354 ml),223 cal
Stout ,1 can/bottle (354 ml),181 cal
Stout Beer ,1 can/bottle (354 ml),181 cal
Strong Beer ,1 can/bottle (354 ml),195 cal
Tilt ,1 can/bottle (354 ml),227 cal
