Name,Portion,Calories
Angel Food Cake ,1 piece (28 g),72 cal
Apple Cake ,1 serving (100 g),252 cal
Apple Cobbler ,1 serving (100 g),198 cal
Apple Crisp ,1 serving (100 g),156 cal
Apple Crumble ,1 serving (100 g),156 cal
Apple Pie ,1 slice (125 g),296 cal
Apple Strudel ,1 piece (71 g),195 cal
Apple Turnover ,1 turnover (82 g),285 cal
Applesauce Cake ,1 piece (62 g),222 cal
Baked Alaska ,1 piece (103 g),254 cal
Bakewell Tart ,1 piece (59 g),254 cal
Banoffee Pie ,1 serving (100 g),395 cal
Birthday Cake ,1 piece (85 g),395 cal
Black and White Cookie ,1 cookie (113 g),431 cal
Black Forest Cake ,1 piece (107 g),282 cal
Blueberry Cobbler ,1 slice (100 g),234 cal
Blueberry Muffin ,1 muffin (57 g),215 cal
Blueberry Pie ,1 piece (125 g),290 cal
Bundt Cake ,1 slice (91 g),337 cal
Buttermilk Pie ,1 piece (144 g),547 cal
Caramel Cake ,1 slice (64 g),304 cal
Carrot Cake ,1 piece (133 g),543 cal
Cheesecake ,1 piece (80 g),257 cal
Cherry Pie ,1 piece (125 g),325 cal
Chess Pie ,1 piece (89 g),366 cal
Chocolate Cake ,1 piece (138 g),537 cal
Chocolate Cream Pie ,1 piece (99 g),301 cal
Chocolate Mousse Cake ,1 piece (95 g),247 cal
Chocolate Mousse Pie ,1 piece (95 g),247 cal
Chocolate Muffin ,1 muffin (100 g),420 cal
Coconut Cake ,1 piece (66 g),235 cal
Coffee Cake ,1 piece (90 g),298 cal
Cream Puff ,1 cream puff (130 g),434 cal
Crumb Cake ,1 piece (57 g),251 cal
Cupcake ,1 cupcake (43 g),131 cal
Danish Pastry ,1 pastry (71 g),266 cal
Donut ,1 donut (60 g),242 cal
Doughnut ,1 doughnut (60 g),242 cal
Flan ,1/2 cup (153 g),222 cal
Flourless Chocolate Cake ,1 piece (80 g),407 cal
French Cruller ,1 cruller (41 g),169 cal
Fruit Cake ,1 piece (43 g),139 cal
Funnel Cake ,1 cake (90 g),276 cal
German Chocolate Cake ,1 piece (110 g),407 cal
Gingerbread ,1 piece (74 g),263 cal
Ice Cream Cake ,1 piece (120 g),240 cal
Key Lime Pie ,1 piece (80 g),287 cal
King Cake ,1 piece (91 g),343 cal
Layer Cake ,1 slice (107 g),430 cal
Lemon Cake ,1 piece (66 g),232 cal
Lemon Meringue Pie ,1 piece (113 g),303 cal
Madeira Cake ,1 slice (50 g),197 cal
Marble Cake ,1 piece (109 g),370 cal
Meringue ,1 piece (127 g),362 cal
Opera Cake ,1 piece (25 g),80 cal
Paczki ,1 paczki (85 g),286 cal
Pancake ,1 pancake (38 g),86 cal
Panettone ,1 slice (50 g),180 cal
Pavlova ,1 serving (65 g),191 cal
Peach Cobbler ,1 tbsp (15 g),10 cal
Peach Pie ,1 piece (117 g),261 cal
Pecan Pie ,1 slice (133 g),541 cal
Pineapple Upside-Down Cake ,1 piece (115 g),367 cal
Plum Cake ,1 piece (150 g),164 cal
Poppy-Seed Cake ,1 piece (90 g),355 cal
Pound Cake ,1 serving (55 g),215 cal
Profiterole ,1 serving (113 g),377 cal
Puff Pastry ,1 sheet (245 g),1367 cal
Pumpkin Bread ,1 slice (60 g),179 cal
Pumpkin Cheesecake ,1 piece (100 g),340 cal
Pumpkin Pie ,1 slice (133 g),323 cal
Raspberry Pie ,1 piece (137 g),329 cal
Red Velvet Cake ,1 piece (80 g),294 cal
Rhubarb Pie ,1 piece (137 g),336 cal
Rum Cake ,1 piece (57 g),200 cal
Sacher Torte ,1 piece (125 g),440 cal
Sponge Cake ,1 piece (38 g),110 cal
Strawberry Cheesecake ,1 slice (61 g),199 cal
Strawberry Pie ,1 piece (167 g),384 cal
Strawberry Rhubarb Pie ,1 piece (150 g),422 cal
Sweet Potato Pie ,1 piece (131 g),341 cal
Swiss Roll ,1 cake (31 g),136 cal
Tarte Tatin ,1 piece (100 g),210 cal
Tiramisu ,1 serving (174 g),492 cal
Tiramisu Cake ,1 piece (108 g),314 cal
Treacle Tart ,1 serving (100 g),369 cal
Tres Leches Cake ,1 piece (120 g),295 cal
Trifle ,1 serving (100 g),180 cal
Victoria Sponge Cake ,1 piece (28 g),72 cal
Waffles ,1 waffle (33 g),103 cal
