Name,Portion,Calories
,3 Musketeers 1 bar (60 g),240 cal
After Eight ,1 after eight (8 g),36 cal
Airheads ,1 bar (16 g),60 cal
Almond Roca ,3 pieces (35 g),200 cal
Angel Delight ,1 sachet (59 g),266 cal
Animal Crackers ,10 crackers (19 g),85 cal
Baby Ruth ,1 bar (21 g),98 cal
Butterfinger ,1 bar (60 g),270 cal
Buttermilk Pancakes ,1 pancake (35 g),83 cal
Candy Apple ,1 apple (141 g),214 cal
Candy Cane ,1 piece (14 g),59 cal
Candy canes ,1 piece (14 g),59 cal
Candy Corn ,20 pieces (41 g),148 cal
Candy Floss ,1 bag (10 g),40 cal
Caramel Popcorn ,1 cup (43 g),162 cal
Caramel squares ,1 square (10 g),37 cal
Celebrations ,1 piece (9 g),44 cal
Cheez-It’s ,20 crackers (22 g),117 cal
Chocolate ,1 piece (7 g),37 cal
Chocolate Bar ,1 bar (45 g),240 cal
Chocolate Chips ,1 tbsp (14 g),69 cal
Cookies ,1 cookie (16 g),78 cal
Cotton Candy ,1/2 bag (14 g),90 cal
Eggy Bread ,1 eggy bread (85 g),167 cal
Fairy Cakes ,1 cake (15 g),66 cal
Ferrero Rocher ,1 piece (12.5 g),69 cal
Flapjack ,1 bar (75 g),365 cal
Fortune Cookies ,1 cookie (7 g),15 cal
Granola Bars ,1 bar (21 g),95 cal
Gumdrops ,20 pieces (74 g),238 cal
Gummi Bears ,20 pieces (54 g),171 cal
Hanuta ,1 hanuta (22 g),119 cal
Hershey Kisses ,10 pieces (50 g),236 cal
Jelly Beans ,10 pieces (30 g),106 cal
Jelly Belly ,10 pieces (30 g),106 cal
Jolly Ranchers ,1 piece (7 g),27 cal
Jordan Almonds ,20 pieces (65 g),279 cal
Kit Kat ,1 bar (45 g),234 cal
Laffy Taffy ,1 bar (9 g),33 cal
Licorice ,5 pieces (29 g),109 cal
LifeSavers ,10 pieces (20 g),100 cal
Lindt Chocolate ,1 piece (5 g),27 cal
Liquorice ,5 pieces (29 g),109 cal
Lollipop ,1 lollipop (12 g),47 cal
M&M’s ,20 pieces (14 g),67 cal
Maltesers ,1 bag (37 g),184 cal
Mars Bar ,1 bar (45 g),202 cal
Marshmallows ,5 pieces (39 g),124 cal
Marzipan ,1 piece (20 g),82 cal
Mike and Ike ,20 pieces (37 g),133 cal
Milk Duds ,20 pieces (62 g),262 cal
Milky Way ,1 bar (22 g),99 cal
PayDay ,1 bar (52 g),240 cal
Peanut Bar ,1 bar (45 g),240 cal
Peanut Brittle ,1/2 cup (36 g),66 cal
Peanut Butter Bars ,1 bar (77 g),292 cal
Peanut Butter Cookies ,1 cookie  (20 g),95 cal
Peppermint bark ,1 piece (28 g),140 cal
Pez ,1 roll (8 g),34 cal
Pop Rocks ,1 bag (10 g),36 cal
Popcorn ,1 cup (11 g),64 cal
Pumpkin Seeds ,1 tbsp (10 g),56 cal
Reeses Peanut Butter Cups ,1 cup (28 g),150 cal
Rice Pudding ,1 cup (225 g),302 cal
Roasted Almonds ,1 bar (21 g),95 cal
Rolo ,5 pieces (30 g),142 cal
Semolina ,1 tbsp (11 g),37 cal
Skittles ,20 pieces (22 g),89 cal
Smarties ,1 roll (7 g),25 cal
Smores ,1 bar (43 g),215 cal
Snickers ,1 bar (50 g),242 cal
Sour Patch Kids ,20 pieces (37 g),134 cal
Speculoos ,1 cookie (8 g),38 cal
Spritz Cookies ,1 cookie (11 g),55 cal
S’mores ,1 bar (43 g),215 cal
Take ,5 1 bar (42 g),200 cal
Toblerone ,1 piece (9 g),47 cal
Trifle ,1/2 trifle (250 g),465 cal
Twix ,1 bar (25 g),124 cal
Waffles ,1 waffle (35 g),95 cal
