Name,Portion,Calories
Applesauce ,1 cup (114 g),71 cal
Canned Apricots ,1 cup (246 g),118 cal
Canned Blackberries ,1 cup (256 g),236 cal
Canned Blueberries ,1 cup (256 g),225 cal
Canned Cherries ,1 cup (250 g),135 cal
Canned Cranberries ,1 cup (275 g),490 cal
Canned Crushed Pineapple ,1 cup (225 g),119 cal
Canned Figs ,1 cup (261 g),279 cal
Canned Fruit Cocktail ,1 cup (246 g),199 cal
Canned Fruit Salad ,1 cup (259 g),130 cal
Canned Gooseberries ,1 cup (252 g),184 cal
Canned Grapefruit ,1 cup (249 g),92 cal
Canned Grapes ,1 cup (256 g),195 cal
Canned Mandarin Oranges ,1 container (113 g),80 cal
Canned Mango ,1 cup (165 g),107 cal
Canned Mangosteen ,1 cup (216 g),158 cal
Canned Mixed Fruit ,1 can (113 g),80 cal
Canned Morello Cherries ,1 cup (270 g),219 cal
Canned Oranges ,1 can (113 g),70 cal
Canned Peaches ,1/2 peach (98 g),53 cal
Canned Pears ,1 cup (284 g),99 cal
Canned Pineapple ,1 cup (232 g),139 cal
Canned Plums ,1 plum (46 g),27 cal
Canned Raspberries ,1 cup (256 g),233 cal
Canned Sliced Pineapple ,1 cup (225 g),119 cal
Canned Sour Cherries ,1 cup (261 g),298 cal
Canned Strawberries ,1 cup (254 g),234 cal
Canned Tangerines ,1 cup (252 g),154 cal
