Name,Portion,Calories
Amaranth ,1 cup (193 g),716 cal
Barley ,1 cup (157 g),556 cal
Barley Groats ,1 cup (31 g),31 cal
Brown Rice ,1 cup (195 g),757 cal
Buckwheat ,1 cup (170 g),583 cal
Buckwheat Groats ,1 cup (164 g),567 cal
Corn Waffles ,1 waffle (40 g),110 cal
Cornmeal ,1 cup (122 g),442 cal
Cornstarch ,1 cup (128 g),488 cal
Couscous ,1 cup (173 g),650 cal
Cracker ,1 cracker (7 g),35 cal
Durum Wheat Semolina ,1 tbsp (30 g),119 cal
Flaxseed ,1 cup (168 g),897 cal
Freekeh ,1 cup (160 g),832 cal
Gluten ,1 oz. (28 g),104 cal
Grissini ,1 grissini (5 g),20 cal
Kamut ,1 cup (186 g),627 cal
Millet ,1 cup (128 g),484 cal
Millet Flour ,1 cup (140 g),521 cal
Millet Gruel ,1 cup (174 g),80 cal
Oat Bran ,1 cup  (94 g),231 cal
Pearl Barley ,1 cup (157 g),553 cal
Polenta ,1 cup (150 g),549 cal
Prawn Crackers ,1 cracker (3 g),16 cal
Pretzel Sticks ,20 sticks (12 g),46 cal
Quinoa ,1 cup (170 g),626 cal
Rusk ,1 rusk (10 g),41 cal
Rye Bran ,1 cup (150 g),422 cal
Sago ,1 oz. (28 g),99 cal
Savoury Biscuits ,40 grams (40 g),139 cal
Shortbread ,1 cookie (19 g),95 cal
Spelt ,1 cup (174 g),588 cal
Spelt Bran ,1 cup (160 g),283 cal
Spelt Semolina ,1 cup (167 g),601 cal
Sunflower Seeds ,1 cup (140 g),818 cal
Tortilla ,1 tortilla (197 g),467 cal
Tortilla Chips ,20 chips (32 g),160 cal
Wheat Bran ,1 cup (58 g),125 cal
Wheat Germ ,1 cup (113 g),432 cal
Wheat Gluten ,1 tsp (3 g),10 cal
Wheat Semolina ,1 cup (167 g),601 cal
Wheat Starch ,1 cup (110 g),386 cal
Whole Grain Wheat ,1 cup (120 g),407 cal
