Name,Portion,Calories
Baked Ham ,1 slice (21 g),72 cal
Beef Salami ,1 slice (10 g),38 cal
Boiled Ham ,1 slice (21 g),26 cal
Bologna ,1 slice (23 g),57 cal
Bresaola ,1 slice (9 g),16 cal
Capicola ,1 slice (21 g),23 cal
Chicken Breast Fillet ,1 slice (21 g),17 cal
Chopped Ham ,1 slice (28 g),50 cal
Chorizo ,1 oz. (28.35 g),127 cal
Corned Beef ,1 slice (21 g),53 cal
Dutch Loaf ,1 slice (21 g),56 cal
Ham ,1 slice (23 g),33 cal
Ham Sausage ,1 slice (23 g),38 cal
Head Cheese ,1 slice (28 g),44 cal
Hickory Ham ,1 slice (21 g),39 cal
Honey Ham ,1 slice (22 g),27 cal
Liverwurst ,1 slice (18 g),59 cal
Olive Loaf ,1 slice (23 g),53 cal
Oven-Roasted Turkey Breast ,1 slice (21 g),22 cal
Parma Ham ,1 slice (11 g),38 cal
Pastrami ,1 slice (29 g),39 cal
Pepperoni ,1 slice (2 g),10 cal
Pimento Loaf ,1 slice (28 g),74 cal
Pork Roast ,1 slice (21 g),52 cal
Prosciutto ,1 slice (9 g),18 cal
Roast Beef ,1 slice (21 g),56 cal
Salami ,1 slice (12.3 g),40 cal
Serrano Ham ,1 slice (15 g),45 cal
Smoked Ham ,1 slice (21 g),22 cal
Smoked Turkey Breast ,1 slice (21 g),22 cal
Summer Sausage ,1 slice (21 g),63 cal
Tongue ,1 slice (28 g),80 cal
Turkey Breast ,1 slice (21 g),22 cal
Turkey Ham ,1 slice (21 g),26 cal
