Name,Portion,Calories
Chive Cream Cheese ,1 tbsp (14.5 g),48 cal
Cottage Cheese ,1 cup (226 g),221 cal
Cream Cheese ,1 tbsp (14.5 g),48 cal
Cream Cheese with Herbs ,1 tbsp (14.5 g),48 cal
Feta Cream Cheese ,1 tbsp (14.5 g),48 cal
Garlic Cream Cheese ,1 tbsp (14.5 g),48 cal
Goat Cheese ,1 tsp (10 g),36 cal
Horseradish ,1 tbsp (15 g),7 cal
Mascarpone ,1 tbsp (14.5 g),63 cal
Obatzda ,1 tbsp (15 g),45 cal
Olive Cream Cheese ,1 tbsp (14.5 g),48 cal
Pesto Cream Cheese ,1 tbsp (14.5 g),48 cal
Philadelphia Cream Cheese ,1 tbsp (14.5 g),48 cal
Pineapple Cream Cheese ,1 tbsp (14.5 g),48 cal
Salmon Cream Cheese ,1 tbsp (14.5 g),48 cal
Vegetable Cream Cheese ,1 tbsp (14.5 g),48 cal
