Name,Portion,Calories
Baby Back Ribs ,1 serving (139 g),360 cal
Bacon and Eggs ,1 serving (214 g),539 cal
Baked Beans ,1 cup (260 g),244 cal
Baked Chicken ,1 breast (172 g),282 cal
BBQ Ribs ,1 rib (141 g),360 cal
Beef Stew ,1 cup (196 g),186 cal
Biryani ,1 cup (275 g),484 cal
Black Pudding ,1 pudding (40 g),101 cal
Black Rice ,1/2 cup (100 g),323 cal
BLT ,1 item (240 g),593 cal
Brown Rice ,1 cup (185 g),670 cal
Burrito ,1 burrito (200 g),326 cal
Butter Chicken ,1 tray (350 g),490 cal
California Roll ,1 roll (35 g),33 cal
Chicken Caesar Salad ,1 salad (309 g),392 cal
Chicken Fried Steak ,1 steak  (280 g),423 cal
Chicken Marsala ,1 serving (2301 g),2209 cal
Chicken Parmesan ,1 piece (227 g),250 cal
Chicken Pot Pie ,1 pie (302 g),673 cal
Chicken Tikka Masala ,1 serving (241 g),195 cal
Chili con Carne ,1 cup (253 g),266 cal
Chimichanga ,1 item (180 g),418 cal
Cobb Salad ,1 serving (536 g),632 cal
Collard Greens ,1 cup (45 g),13 cal
Corn Dog ,1 item (175 g),438 cal
Corned Beef Hash ,1 can (213 g),349 cal
Cottage Pie ,1 pie (376 g),523 cal
Dal ,1/2 cup (92 g),304 cal
Deviled Eggs ,1/2 egg (31 g),62 cal
Dim Sum ,1 piece (19 g),37 cal
Dosa ,1 serving (435 g),287 cal
Enchiladas ,1 enchilada (192 g),323 cal
Fajita ,1 serving (248 g),290 cal
Fish and Chips ,1 serving (300 g),585 cal
Fried Rice ,1 serving (356 g),662 cal
Fried Shrimp ,1 shrimp (27 g),75 cal
Grilled Cheese Sandwich ,1 sandwich (136 g),392 cal
Ham and Cheese Sandwich ,1 sandwich (146 g),352 cal
Hummus ,1 cup (246 g),435 cal
Jambalaya ,1 cup (250 g),250 cal
Kebab ,1 kebab (360 g),774 cal
Lasagne ,1 serving (215 g),284 cal
Mac and Cheese ,1 serving (189 g),699 cal
Macaroni and Cheese ,1 serving (189 g),699 cal
Mashed Potatoes ,1 cup (210 g),174 cal
Meat Pie ,1 pie (120 g),290 cal
Meatloaf ,1 loaf (284 g),721 cal
Naan ,1 bread (84 g),260 cal
Orange Chicken ,1 serving (162 g),420 cal
Pad Thai ,1 cup (250 g),375 cal
Paella ,1/2 package (128 g),200 cal
Paratha ,1 paratha (80 g),260 cal
Pea Soup ,1 cup (253 g),190 cal
Peanut Butter Sandwich ,1 sandwich (49 g),200 cal
Peking Duck ,1/2 duck (178 g),401 cal
Philly Cheese Steak ,1 sandwich (120 g),300 cal
Pizza ,1 slice (102 g),272 cal
Pork Chop ,1 chop (131 g),295 cal
Potato Salad ,1/3 cup (95 g),136 cal
Pulled Pork Sandwich ,1 sandwich (261 g),551 cal
Ramen ,"1 package, dry (85 g)",380 cal
Ravioli ,5 ravioli (66 g),134 cal
Reuben Sandwich ,1 sandwich (308 g),641 cal
Roast Beef ,1 slice (21 g),23 cal
Roast Dinner ,1 slice (121 g),240 cal
Samosa ,1 samosa (50 g),107 cal
Sausage Roll ,1 roll (103 g),361 cal
Sausage Rolls ,1 roll (34 g),101 cal
Shepherds Pie ,1 pie (227 g),159 cal
Shrimp Cocktail ,1 oz. (28 g),130 cal
Sloppy Joe ,1/2 cup (142 g),101 cal
Sloppy Joes ,1 bun (258 g),397 cal
Spaghetti Bolognese ,1 serving (283 g),374 cal
Spring Roll ,1 roll (140 g),350 cal
Spring Rolls ,1 roll (140 g),350 cal
Taco ,1 taco (98 g),213 cal
Tandoori Chicken ,1 serving (175 g),198 cal
