Name,Portion,Calories
Anchovy ,3 oz. (85 g),111 cal
Bluefish ,1 fillet (117 g),186 cal
Bream ,1 serving (125 g),169 cal
Butterfish ,1 fillet (25 g),47 cal
Calamari ,1 piece (12 g),21 cal
Carp ,1 fillet (170 g),275 cal
Caviar ,1 tbsp (16 g),42 cal
Clam ,3 oz. (85 g),126 cal
Cod ,1 fillet (180 g),189 cal
Crawfish ,1 crawfish (12 g),10 cal
Crayfish ,3 oz. (85 g),74 cal
Eel ,1 oz. (28.4 g),66 cal
Fish Fingers ,1 stick (28 g),81 cal
Fish Sticks ,1 stick (28 g),81 cal
Flounder ,1 fillet (127 g),109 cal
Grouper ,1 fillet (202 g),238 cal
Haddock ,1 fillet (150 g),135 cal
Hake ,1 fillet (113 g),80 cal
Halibut ,1/2 fillet (200 g),222 cal
Herring ,1 fillet (143 g),290 cal
Hoki ,1 serving (70 g),85 cal
Kipper ,1 fillet (40 g),87 cal
Ling ,1 fillet (151 g),165 cal
Lobster ,1 lobster (150 g),134 cal
Mackerel ,1 fillet (88 g),231 cal
Milkfish ,3 oz. (85 g),162 cal
Monkfish ,3 oz. (85 g),82 cal
Mullet ,1 fillet (93 g),140 cal
Mussel ,3 oz. (85 g),146 cal
Octopus ,3 oz. (85 g),139 cal
Pickerel ,1 fillet (127 g),141 cal
Pickled Herring ,1 cup (140 g),367 cal
Pike ,1/2 fillet (155 g),175 cal
Plaice ,1 serving (100 g),91 cal
Pollack ,1/2 fillet (151 g),168 cal
Red Snapper ,1 fillet (170 g),218 cal
Redfish ,1 serving (57 g),54 cal
Rollmops ,1 rollmops (65 g),111 cal
Salmon ,1/2 fillet (178 g),367 cal
Sardines ,1 cup (149 g),310 cal
Scallops ,1 scallop (10 g),11 cal
Scampi ,1 scampi (10 g),8 cal
Sea Bass ,1 fillet (124 g),154 cal
Shad ,1 fillet (144 g),363 cal
Shark ,3 oz. (85 g),111 cal
Smelt ,3 oz. (85 g),105 cal
Sole ,1 fillet (127 g),109 cal
Squid ,1 oz. (28.4 g),26 cal
Sturgeon ,1 cup (136 g),184 cal
Sushi ,1 piece (26 g),39 cal
Swordfish ,1 piece (106 g),182 cal
Triggerfish ,1 oz. (28.4 g),26 cal
Trout ,1 fillet (62 g),118 cal
Tuna ,1/2 fillet (154 g),203 cal
Tuna Salad ,1 cup (205 g),383 cal
Turbot ,1/2 fillet (159 g),194 cal
Wahoo ,1 serving (100 g),167 cal
Whitefish ,1 fillet (154 g),265 cal
Whiting ,1 fillet (72 g),84 cal
