Name,Portion,Calories
Acai ,1 oz. (28.35 g),20 cal
Apple ,1 apple (182 g),95 cal
Applesauce ,1 cup (246 g),167 cal
Apricot ,1 apricot (35 g),17 cal
Avocado ,1 avocado (200 g),320 cal
Banana ,1 banana (125 g),111 cal
Blackberries ,1 cup (144 g),62 cal
Blood Oranges ,1 serving (140 g),70 cal
Blueberries ,1 cup (148 g),84 cal
Cantaloupe ,1 wedge (69 g),23 cal
Cherries ,1 cherry (8 g),4 cal
Clementine ,1 clementine (74 g),35 cal
Cranberries ,1 cup (100 g),46 cal
Currants ,1 cup (112 g),63 cal
Custard Apple ,1 custard apple (135 g),136 cal
Dates ,1 date (7.1 g),20 cal
Figs ,1 fig (50 g),37 cal
Fruit salad ,1 cup (249 g),125 cal
Grapes ,1 cup (151 g),104 cal
Greengage ,1 fruit (5 g),2 cal
Guava ,1 guava (55 g),37 cal
Jackfruit ,1 cup (151 g),143 cal
Jujube ,1 oz. (28.35 g),22 cal
Kiwi ,1 liwi (183 g),112 cal
Lemon ,1 lemon (58 g),17 cal
Lime ,1 lime (67 g),20 cal
Lychees ,1 lychee (10 g),7 cal
Mandarin Oranges ,1 mandarin orange (88 g),47 cal
Mango ,1 mango (336 g),202 cal
Minneola ,1 minneola (109 g),70 cal
Mulberries ,1 cup (140 g),60 cal
Nectarine ,1 nectarine (150 g),66 cal
Olives ,1 olive (2.7 g),2 cal
Orange ,1 orange (131 g),62 cal
Papaya ,1 fruit (500 g),215 cal
Passion Fruit ,1 passoin fruit (18 g),17 cal
Peach ,1 peach (150 g),59 cal
Pear ,1 pear (178 g),101 cal
Persimmon ,1 fruit (25 g),32 cal
Physalis ,1 berry (5 g),2 cal
Pineapple ,1 pineapple (905 g),453 cal
Plantains ,1 plantain (179 g),218 cal
Plum ,1 plum (66 g),30 cal
Pomegranate ,1 pomegranate (282 g),234 cal
Quince ,1 quince (92 g),52 cal
Raisins ,1 cup (145 g),434 cal
Rambutan ,1 rambutan (9 g),7 cal
Raspberries ,1 cup (123 g),64 cal
Rhubarb ,1 stalk (51 g),11 cal
Starfruit ,1 star fruit (91 g),28 cal
Strawberries ,1 cup (152 g),49 cal
Tamarind ,1 tamarind (2 g),5 cal
Tangerine ,1 tangerine (88 g),47 cal
