Name,Portion,Calories
Almond Extract ,1 tbsp (10 ml),37 cal
Anise ,1 tsp (2.1 g),7 cal
Anise Seed ,1 tsp (2.1 g),7 cal
Arrowroot ,1 root (33 g),21 cal
Arugula ,1 leaf (2 g),1 cal
Balsamic Vinegar ,1 tbsp (16 ml),14 cal
Basil ,1 tsp (0.7 g),0 cal
Black Pepper ,1 tsp (2.4 g),5 cal
Black Sesame Seeds ,1 tbsp (9 g),52 cal
Broth ,1 tsp (5 g),5 cal
Capers ,1 tbsp (8.6 g),2 cal
Caraway Seeds ,1 tbsp (6.7 g),20 cal
Cardamom ,1 tbsp (5.8 g),16 cal
Cassava ,1 root (408 g),653 cal
Cayenne Pepper ,1 tsp (1.8 g),3 cal
Chard ,1 leaf (48 g),9 cal
Chicory Greens ,1 cup (29 g),7 cal
Chicory Roots ,1 root (60 g),43 cal
Chili ,1 tbsp (8 g),23 cal
Chili Powder ,1 tsp (2.7 g),6 cal
Chives ,1 tbsp (3 g),1 cal
Cider Vinegar ,1 tbsp (14 ml),3 cal
Cilantro ,1/4 cup (4 g),1 cal
Cinnamon ,1 tbsp (7.9 g),17 cal
Cloves ,1 tbsp (6.5 g),16 cal
Coriander ,1/4 cup (4 g),1 cal
Cream of Tartar ,1 tsp (3 g),8 cal
Cress ,1 sprig (1 g),0 cal
Crystallized Ginger ,1 tbsp (5.2 g),17 cal
Cumin ,1 tbsp (6 g),23 cal
Cumin Seed ,1 tbsp (6 g),23 cal
Curry ,1 tbsp (6.3 g),20 cal
Dandelion ,1 cup (55 g),25 cal
Dill ,5 sprigs (1 g),0 cal
Dill Weed ,5 sprigs (1 g),0 cal
Fennel ,1 bulb (234 g),73 cal
Fennel Seed ,1 tsp (2 g),7 cal
Fenugreek ,1 tbsp (11.1 g),36 cal
Garlic ,1 clove (3 g),4 cal
Garlic Powder ,1 tsp (3.1 g),10 cal
Garlic Salt ,1/4 tsp (1 g),0 cal
Ginger ,1 tsp (2 g),2 cal
Grape Leaves ,1 leaf (3 g),3 cal
Ground Ginger ,1 tbsp (5.2 g),17 cal
Horseradish ,1 tbsp (15 g),7 cal
Hot Pepper ,1 tsp (1.8 g),3 cal
Iodized Salt ,1 tbsp (18 g),0 cal
Jalapeno ,1 oz. (30 g),4 cal
Juniper ,1 cup (55 g),25 cal
Lemon Grass ,1 tbsp (4.8 g),4 cal
Licorice ,1 tbsp (18 g),68 cal
Maggi ,1 tsp (4 ml),4 cal
Marjoram ,1 tbsp (1.7 g),3 cal
Minced Onion ,1 cup (160 g),64 cal
Mint ,1 tbsp (1.6 g),1 cal
Mustard Seed ,1 tsp (2 g),10 cal
Nutmeg ,1 tsp (2.2 g),11 cal
Okra ,1 tbsp (18 g),6 cal
Onion ,1 onion (85 g),34 cal
Onion Powder ,1 tsp (2.4 g),7 cal
Orange Peel ,1 tbsp (6 g),6 cal
Oregano ,1 tsp (1 g),3 cal
Paprika ,1 tsp (2.3 g),6 cal
Parsley ,1 tbsp (3.8 g),1 cal
Parsnip ,1 parsnip (170 g),128 cal
Pepper ,1 tsp (2.4 g),5 cal
Poppy Seed ,1 tbsp (8.8 g),42 cal
Poultry Seasoning ,1 tbsp (4.4 g),12 cal
Pumpkin Pie Spice ,1 tbsp (5.6 g),17 cal
Red Pepper ,1 tsp (3 g),8 cal
Red Wine Vinegar ,1 tbsp (14.9 g),3 cal
Rosemary ,1 tbsp (1.7 g),1 cal
Saffron ,1 tbsp (2.1 g),6 cal
Sage ,1 tbsp (2 g),6 cal
Salt ,1 tbsp (18 g),0 cal
Savory ,1 tbsp (4.4 g),11 cal
Sea Salt ,1 tbsp (18 g),0 cal
Serrano Pepper ,1 pepper (6.1 g),2 cal
Sesame Seeds ,1 cup (144 g),825 cal
Stevia ,1 tbsp (15 g),0 cal
Tamarind ,1 tamarind (2 g),5 cal
Taro ,"1 cup, sliced (104 g)",116 cal
Tarragon ,1 tbsp (1.8 g),3 cal
Thyme ,1 tsp (1 g),3 cal
Turmeric ,1 tsp (2.2 g),7 cal
Vanilla Bean ,1 pod (2 g),5 cal
Vanilla Extract ,1 tbsp (13 ml),37 cal
Vinegar ,1 tbsp (14 ml),3 cal
White Pepper ,1 tsp (2.4 g),6 cal
