Name,Portion,Calories
Baskin-Robbins ,1 scoop (71 g),170 cal
Ben and Jerry’s ,1 scoop (92 g),210 cal
Butter Pecan Ice Cream ,1 scoop (113 g),280 cal
Carvel ,1 cup (212 g),449 cal
Chocolate Chip Ice Cream ,1 scoop (72 g),155 cal
Chocolate Ice Cream ,1 scoop (72 g),156 cal
Ciao Bella ,1 cup (220 g),240 cal
Coffee Ice Cream ,1 scoop (72 g),170 cal
Cold Stone Creamery ,1 scoop (142 g),329 cal
Cookie Dough Ice Cream ,1/2 cup (65 g),130 cal
Crunchie McFlurry ,1 mcflurry (183 g),318 cal
Dairy Milk McFlurry ,1 mcflurry (183 g),340 cal
Dippin Dots ,1 cup (170 g),381 cal
Double Rainbow ,1 scoop (72 g),185 cal
Drumsticks ,1 cone (141 g),360 cal
French Vanilla Ice Cream ,1 scoop (72 g),145 cal
Friendly’s ,1 scoop (66 g),140 cal
Healthy Choice ,1 bar (64 g),80 cal
Hot Fudge Sundae ,1 sundae (179 g),333 cal
Ice Cream Sandwich ,1 bar (112 g),265 cal
Ice Cream Sundae ,1 sundae (178 g),253 cal
Ice Milk ,1 scoop (103 g),164 cal
Magnolia ,1 scoop (72 g),166 cal
Magnum ,1 magnum (86 g),258 cal
Magnum Almond ,1 magnum (86 g),271 cal
Magnum Double Caramel ,1 magnum (86 g),305 cal
Magnum Double Chocolate ,1 magnum (86 g),327 cal
Magnum Gold ,1 magnum (85 g),290 cal
Magnum White ,1 magnum (86 g),255 cal
McFlurry ,1 mcflurry (134 g),205 cal
McFlurry Oreo ,1 mcflurry (183 g),340 cal
Mini Milk ,1 mini milk (25 g),30 cal
Mint Chocolate Chip Ice Cream ,1 scoop (72 g),172 cal
Rocky Road Ice Cream ,1 scoop (113 g),290 cal
Schwan’s ,1 scoop (72 g),177 cal
Smarties McFlurry ,1 mcflurry (202 g),400 cal
Snickers Ice Cream ,1 bar (50 g),180 cal
Soft Serve ,1 cup (86 g),191 cal
Solero ,1 solero (75 g),75 cal
Strawberry Ice Cream ,1 scoop (72 g),170 cal
Strawberry Sundae ,1 sundae (178 g),281 cal
Sundae ,1 scoop (72 g),155 cal
Turkey Hill ,1 sandwich (70 g),190 cal
Vanilla Cone ,1 cone (142 g),230 cal
