Name,Portion,Calories
Acai Juice ,8 fl. oz. (240 ml),139 cal
Aloe Vera ,8 fl. oz. (240 ml),106 cal
Apple Juice ,8 fl. oz. (240 ml),110 cal
Apricot Nectar ,8 fl. oz. (240 ml),134 cal
Banana Juice ,8 fl. oz. (240 ml),120 cal
Blackberry Juice ,8 fl. oz. (240 ml),115 cal
Boysenberry Juice ,8 fl. oz. (240 ml),130 cal
Capri-Sun ,1 capri-sun (200 ml),82 cal
Carrot Juice ,8 fl. oz. (240 ml),96 cal
Chamomile Tea ,8 fl. oz. (240 ml),0 cal
Cherry Juice ,8 fl. oz. (240 ml),108 cal
Clamato ,8 fl. oz. (240 ml),144 cal
Coconut Milk ,8 fl. oz. (240 ml),559 cal
Coconut Water ,8 fl. oz. (240 ml),46 cal
Concord Grape ,8 fl. oz. (240 ml),170 cal
Cranberry Apple Juice ,8 fl. oz. (240 ml),161 cal
Cranberry Grape Juice ,8 fl. oz. (240 ml),170 cal
Cranberry Juice ,8 fl. oz. (240 ml),110 cal
Cucumber Juice ,8 fl. oz. (240 ml),24 cal
Currant Juice ,8 fl. oz. (240 ml),115 cal
Energy-Drink ,12 fl. oz. (355 ml),309 cal
Fruitopia ,8 fl. oz. (240 ml),264 cal
Grape Juice ,8 fl. oz. (240 ml),144 cal
Grapefruit Juice ,8 fl. oz. (240 ml),110 cal
Lemon Juice ,8 fl. oz. (240 ml),50 cal
Lemonade ,8 fl. oz. (240 ml),120 cal
Lime Juice ,8 fl. oz. (240 ml),50 cal
Limeade ,8 fl. oz. (240 ml),307 cal
Mango Lassi ,8 fl. oz. (240 ml),158 cal
Nestea ,8 fl. oz. (240 ml),50 cal
Orange Juice ,8 fl. oz. (240 ml),110 cal
Papaya Juice ,8 fl. oz. (240 ml),139 cal
Passion Fruit Juice ,8 fl. oz. (240 ml),115 cal
Peach Juice ,8 fl. oz. (240 ml),130 cal
Peach Nectar ,8 fl. oz. (240 ml),130 cal
Pear Juice ,8 fl. oz. (240 ml),144 cal
Pear Nectar ,8 fl. oz. (240 ml),144 cal
Pineapple Juice ,8 fl. oz. (240 ml),127 cal
Pineapple Orange Juice ,8 fl. oz. (240 ml),120 cal
Plum Juice ,8 fl. oz. (240 ml),170 cal
Pomegranate Juice ,8 fl. oz. (240 ml),158 cal
Sauerkraut Juice ,8 fl. oz. (240 ml),34 cal
Tangerine Juice ,8 fl. oz. (240 ml),103 cal
Tomato Juice ,8 fl. oz. (240 ml),41 cal
Vegetable Juice ,8 fl. oz. (240 ml),50 cal
