Name,Portion,Calories
Azuki Bean ,1 can (266 g),330 cal
Bamboo Shoots ,1 cup (151 g),41 cal
Bean Curd ,1/2 cup (124 g),94 cal
Bean Sprouts ,1 cup (104 g),31 cal
Bengal Gram ,1 cup (200 g),728 cal
Black Beans ,1 tbsp (12.1 g),41 cal
Black Chickpeas ,1 cup (200 g),728 cal
Black Gram ,1 cup (207 g),706 cal
Brown Lentil ,1 cup (192 g),678 cal
Butternut ,1 cup (120 g),734 cal
Chickpeas ,1 tbsp (12.5 g),44 cal
Chili Bean ,1 cup (253 g),245 cal
Dal ,1 serving (100 g),230 cal
Deep-Fried Tofu ,1 oz. (28.35 g),76 cal
Extra-Firm Tofu ,1/5 block (91 g),83 cal
Firm Tofu ,1/4 block (81 g),57 cal
Flageolet ,1 serving (100 g),85 cal
Fried Bean Curd ,1 piece (13 g),35 cal
Green Beans ,1 cup (100 g),31 cal
Green Gram ,1 cup (207 g),718 cal
Green Lentil ,"1 cup, dry (60 g)",154 cal
Kidney Beans ,1 cup (184 g),620 cal
Lentils ,1 cup (192 g),678 cal
Lima Beans ,1/2 cup (124 g),88 cal
Marron ,1 serving (100 g),210 cal
Miso ,1 cup (275 g),547 cal
Mung Beans ,1 cup (125 g),15 cal
Natto ,1 cup (175 g),371 cal
Navy Bean ,1 cup (208 g),701 cal
Okara ,1 cup (122 g),94 cal
Okra ,1 cup (100 g),33 cal
Peanuts ,1 oz. (28.35 g),159 cal
Peas ,1 cup (63 g),26 cal
Pecan ,1 cup (99 g),684 cal
Pinto Beans ,1 cup (193 g),670 cal
Puy Lentils ,1 serving (100 g),345 cal
Rajma ,1 serving (100 g),140 cal
Red Beans ,1 can (266 g),330 cal
Red Kidney Bean ,1 cup (184 g),620 cal
Red Lentils ,1 cup (197 g),648 cal
Refried Beans ,1 can (443 g),403 cal
Roasted Soybeans ,1 cup (172 g),810 cal
Silken Tofu ,1 slice (84 g),46 cal
Soft Tofu ,1 cubic inch (18 g),11 cal
Soy Cheese ,1 slice (17 g),40 cal
Soy Mayonnaise ,1 tbsp (15 g),48 cal
Soy Nut Butter ,1 serving (32 g),180 cal
Soy Nuts ,1 cup (256 g),1206 cal
Soy Yogurt ,1 container (227 g),150 cal
Soya Cheese ,1 slice (17 g),40 cal
Soybeans ,1 cup (256 g),376 cal
Soynut Butter ,1 serving (32 g),180 cal
Sugar Peas ,1 serving (100 g),42 cal
Sweet Peas ,1 serving (100 g),48 cal
Tempeh ,1 cup (166 g),320 cal
Textured Soy Protein ,1 cup (56 g),320 cal
Textured Vegetable Protein ,1 cup (96 g),320 cal
Tofu ,1/2 cup (124 g),94 cal
White Beans ,1 cup (215 g),722 cal
Yam Bean ,1 cup (130 g),49 cal
Yellow Lentils ,1 cup (200 g),608 cal
