Name,Portion,Calories
Alligator ,1 serving (153 g),355 cal
Beef ,1 steak (164 g),407 cal
Beef Brisket ,1 piece (1780 g),4308 cal
Beef Jerky ,1 piece (20 g),82 cal
Beef Ribs ,1 piece (225 g),536 cal
Beef Tenderloin ,1 steak (140 g),305 cal
Chicken ,1/2 chicken (334 g),731 cal
Chicken Breast ,1 breast (200 g),344 cal
Chicken Drumstick ,1 drumstick (71 g),131 cal
Chicken Fat ,1 cup (205 g),1841 cal
Chicken Giblets ,1 cup (145 g),229 cal
Chicken Gizzards ,1 cup (145 g),212 cal
Chicken Leg ,1 leg (199 g),346 cal
Chicken Liver ,1 liver (44 g),73 cal
Chicken Meat ,1 breast (200 g),344 cal
Chicken Thigh ,1 thigh (111 g),254 cal
Chicken Wing ,1 wing (29 g),77 cal
Chuck Steak ,1 steak (310 g),859 cal
Cubed Steak ,1 serving (165 g),328 cal
Duck ,1/2 duck (634 g),2137 cal
Filet Mignon ,1 fillet (104 g),278 cal
Flank Steak ,1 steak (188 g),365 cal
Flat Iron Steak ,1 steak (252 g),345 cal
Ground Beef ,1 patty (70 g),172 cal
Ground Round ,1 piece (113 g),278 cal
Ham ,1 slice (145 g),236 cal
New York Strip Steak ,1 steak (214 g),426 cal
Ostrich ,1 serving (85 g),123 cal
Pork ,1 chop (185 g),363 cal
Pork Baby Back Ribs ,1 rib (70 g),148 cal
Pork Chops ,1 chop (131 g),257 cal
Pork Country-Style Ribs ,1 rib (60 g),148 cal
Pork Loin ,1 chop (83 g),169 cal
Pork Roast ,1 roast (830 g),2108 cal
Pork Steaks ,1 steak (264 g),517 cal
Roast Beef ,1 roast (515 g),721 cal
Round Steak ,1 steak (236 g),430 cal
Schnitzel ,1 schnitzel (130 g),203 cal
Spare Ribs ,1 rack (1400 g),3332 cal
Standing Rib Roast ,1 serving (113 g),376 cal
T-Bone Steak ,1 steak (287 g),580 cal
Turkey ,1 turkey (3812 g),7205 cal
Turkey Breast ,1/2 breast (864 g),1166 cal
Turkey Legs ,1 leg (546 g),1136 cal
Turkey Steak ,1 steak (170 g),321 cal
