Name,Portion,Calories
Almond Milk ,1 cup (235 ml),40 cal
Buttermilk ,1 cup (254 ml),157 cal
Chocolate Mousse ,1/2 cup (202 g),455 cal
Coconut Milk ,1 cup (240 ml),552 cal
Coffee Creamer ,1 tbsp (15 g),29 cal
Condensed Milk ,1 cup (306 g),982 cal
Cottage Cheese ,1 cup (210 g),206 cal
Cream ,1 tbsp (15 g),36 cal
Creme Fraiche ,1 tbsp (14 g),55 cal
Curd ,1 cup (210 g),206 cal
Custard ,1/2 cup (141 g),172 cal
Evaporated Milk ,1 cup (252 g),340 cal
Goat Milk ,1 cup (244 g),168 cal
Hot Chocolate ,1 cup (266 ml),237 cal
Kefir ,1 cup (246 ml),135 cal
Lactose-free Milk ,1 cup (250 ml),130 cal
Lassi ,1 glass (200 ml),150 cal
Milk ,1 cup (244 ml),149 cal
Plain Yogurt ,1 container (227 g),138 cal
Powdered Milk ,1 cup (68 g),337 cal
Quark ,1 cup (220 g),319 cal
Rice Milk ,1 cup (245 ml),120 cal
Rice Pudding ,1 serving (113 g),133 cal
Semi-skimmed Milk ,1 serving (250 ml),125 cal
Semolina Pudding ,1 serving (143 g),96 cal
Skim Milk ,1 cup (247 ml),86 cal
Sour Cream ,1 tbsp (12 g),22 cal
Soy Milk ,1 cup (243 ml),109 cal
Sweetened Condensed Milk ,1 cup (306 ml),982 cal
Tzatziki ,1 tbsp (15 g),18 cal
Whipped Cream ,1 tbsp (3 g),8 cal
Whole Milk ,1 cup (244 ml),149 cal
