Name,Portion,Calories
ACE Drink ,1/2 litre (500 ml),220 cal
Apple Spritzer ,1/2 litre (500 ml),120 cal
Chai ,1 cup (236 ml),0 cal
Chai Tea ,1 cup (236 ml),0 cal
Chocolate Milk ,1 cup (266 ml),237 cal
Chocolate Milkshake ,10 fl. oz. (283 ml),354 cal
Club Mate ,1/2 litre (500 ml),150 cal
Coca Cola ,1 can (330 ml),139 cal
Coffee ,1 cup (237 ml),2 cal
Coke Zero ,1 can (330 ml),3 cal
Cola ,1 can (330 ml),139 cal
Crystal Light ,8 fl. oz. (237 ml),623 cal
Diet Coke ,1 can (330 ml),3 cal
Egg Cream ,1 serving (125 ml),118 cal
Egg Nog ,1 cup (254 ml),224 cal
Elderflower Cordial ,8 oz. (227 ml),66 cal
Evian ,1 bottle (500 ml),0 cal
Gatorade ,12 fl. oz. (355 ml),82 cal
Ginger Tea ,1 cup (254 ml),0 cal
Hawaiian Punch ,8 oz. (227 ml),70 cal
Hi-C ,12 fl. oz. (253 ml),124 cal
Horchata ,8 fl. oz. (240 ml),130 cal
Hot Chocolate ,1 cup (266 ml),237 cal
Ice Tea ,12 fl. oz. (355 ml),96 cal
Iced Tea ,12 fl. oz. (355 ml),96 cal
Karamalz ,1 cup (237 ml),88 cal
Kombucha ,8 oz. (227 ml),30 cal
Kool-Aid ,8 fl. oz. (237 ml),62 cal
Lassi ,1 cup (250 ml),260 cal
Latte Macchiato ,1 cup (300 ml),171 cal
Lemonade ,12 fl. oz. (355 ml),149 cal
Malt Beer ,1 cup (237 ml),88 cal
Milk ,1 cup (244 ml),149 cal
Milkshake (dry) ,1 tbsp (7 g),23 cal
Milo ,3 tbsp (24 g),98 cal
Nectar ,8 oz. (227 ml),120 cal
Nestea ,1 cup (240 ml),86 cal
Non-alcoholic Beer ,"1 can, bottle (354 ml)",131 cal
Powerade ,1 bottle (500 ml),80 cal
Slurpee ,8 oz. (240 ml),10 cal
Slush Puppie ,8 fl. oz. (237 ml),119 cal
Smoothie ,8 oz. (240 ml),89 cal
Soy Milk ,1 cup (243 ml),109 cal
Strawberry Milkshake ,10 fl. oz. (283 ml),320 cal
Tang ,1/8 cup (24 g),91 cal
Tap Water ,1 fl. oz. (29.6 ml),0 cal
Tea ,1 cup (237 ml),2 cal
Vanilla Milkshake ,10 fl. oz. (283 ml),422 cal
Volvic ,1/2 litre (500 ml),0 cal
Water ,1 fl. oz. (29.6 ml),0 cal
