Name,Portion,Calories
Acorn ,1 oz. (28.35 g),108 cal
Alfalfa Sprouts ,1 cup (33 g),8 cal
Almonds ,1 cup (95 g),546 cal
Beechnut ,1 oz. (28.35 g),161 cal
Brazil Nuts ,1 cup (133 g),872 cal
Breadfruit ,1 oz. (28.35 g),53 cal
Butternut ,1 cup (120 g),734 cal
Cashew ,1 oz. (28.35 g),155 cal
Chestnut ,1 cup (145 g),309 cal
Chia Seeds ,1 oz. (28.35 g),136 cal
Coconut ,1 coconut (397 g),1405 cal
Cotton Seeds ,1 cup (149 g),754 cal
Flaxseed ,1 cup (168 g),897 cal
Ginkgo Nuts ,1 oz. (28.35 g),51 cal
Goa Bean ,1 cup (182 g),744 cal
Hazelnut ,1 cup (75 g),471 cal
Hickory Nuts ,1 cup (120 g),788 cal
Lima Beans ,1/2 cup (124 g),88 cal
Lotus Seed ,1 oz. (28.35 g),25 cal
Macadamia Nuts ,1 cup (134 g),962 cal
Peanuts ,1 cup (146 g),828 cal
Peas ,1 cup (145 g),117 cal
Pecan Nuts ,1 cup (99 g),684 cal
Pecans ,1 cup (99 g),684 cal
Pili Nuts ,1 cup (120 g),863 cal
Pine Nuts ,1 cup (135 g),909 cal
Pinto Beans ,1 cup (193 g),670 cal
Pistachios ,1 cup (123 g),691 cal
Poppy Seeds ,1 tbsp (8.8 g),42 cal
Pumpkin Seeds ,1 cup (129 g),721 cal
Radish Seeds ,1 cup (38 g),16 cal
Safflower Seeds ,1 oz. (28.35 g),145 cal
Sesame Seeds ,1 cup (144 g),825 cal
Smoked Almonds ,1 cup (95 g),546 cal
Soy Beans ,1 cup (256 g),376 cal
Sunflower Seeds ,1 cup (140 g),818 cal
Sweet Chestnut ,1 oz. (28.35 g),54 cal
Walnuts ,1 cup (80 g),523 cal
