Name,Portion,Calories
Bran Flakes ,1 serving (37.5 g),132 cal
Cap’n Crunch ,1 serving (37.5 g),149 cal
Cheerios ,1 serving (37.5 g),128 cal
Chex ,1 serving (37.5 g),143 cal
Chocolate Cheerios ,1 serving (37.5 g),136 cal
Chocos ,1 serving (37.5 g),141 cal
Cinnamon Toast Crunch ,1 serving (37.5 g),160 cal
Coco Pops ,1 serving (37.5 g),139 cal
Cocoa Krispies ,1 serving (37.5 g),143 cal
Cocoa Pebbles ,1 serving (37.5 g),136 cal
Cocoa Puffs ,1 serving (37.5 g),148 cal
Cookie Crisp ,1 serving (37.5 g),148 cal
Corn Flakes ,1 serving (37.5 g),132 cal
Corn Pops ,1 serving (37.5 g),139 cal
Count Chocula ,1 serving (37.5 g),151 cal
Cracklin Oat Bran ,1 serving (37.5 g),149 cal
Cream of Wheat ,1 serving (37.5 g),135 cal
Crunchy Nut ,1 serving (37.5 g),222 cal
Crunchy Nut Cornflakes ,1 serving (37.5 g),222 cal
Fiber One ,1 serving (37.5 g),99 cal
Froot Loops ,1 serving (37.5 g),140 cal
Frosted Cheerios ,1 serving (37.5 g),145 cal
Frosted Flakes ,1 serving (37.5 g),136 cal
Frosted Mini-Wheats ,1 serving (37.5 g),131 cal
Frosties ,1 serving (37.5 g),136 cal
Fruity Pebbles ,1 serving (37.5 g),148 cal
Golden Grahams ,1 serving (37.5 g),148 cal
Grape-Nuts ,1 serving (37.5 g),134 cal
Honey Nut Cheerios ,1 serving (37.5 g),145 cal
Honey Smacks ,1 serving (37.5 g),137 cal
Honeycomb ,1 serving (37.5 g),147 cal
Just Right ,1 serving (37.5 g),145 cal
Kashi ,1 serving (37.5 g),139 cal
Kelloggs Corn Flakes ,1 serving (37.5 g),132 cal
Kix ,1 serving (37.5 g),136 cal
Krave ,1 serving (37.5 g),138 cal
Life Cereal ,1 serving (37.5 g),139 cal
Lucky Charms ,1 serving (37.5 g),150 cal
Malt-O-Meal ,1 cup (240 g),122 cal
Mini-Wheats ,1 serving (37.5 g),131 cal
Muesli ,1 serving (37.5 g),124 cal
Multigrain Cheerios ,1 serving (37.5 g),141 cal
Nutri-Grain ,1 serving (37.5 g),130 cal
Oatibix ,1 biscuit (24 g),101 cal
Oatmeal ,1 cup (175 g),656 cal
Peanut Butter Toast Crunch ,1 serving (37.5 g),159 cal
Post Raisin Bran ,1 serving (37.5 g),119 cal
Post Shredded Wheat ,1 serving (37.5 g),128 cal
Puff ,1 serving (37.5 g),136 cal
Puffed Rice ,1 serving (37.5 g),142 cal
Puffed Wheat ,1 serving (37.5 g),136 cal
Quaker Grits ,1 serving (37.5 g),127 cal
Quaker Oatmeal ,1 serving (37.5 g),139 cal
Quaker Oatmeal Squares ,1 serving (37.5 g),148 cal
Raisin Bran ,1 serving (37.5 g),119 cal
Raisin Bran Crunch ,1 serving (37.5 g),131 cal
Raisin Bran Crunch ,1 serving (37.5 g),131 cal
Raisin Nut Bran ,1 serving (37.5 g),136 cal
Ready Brek ,1 serving (37.5 g),133 cal
Rice Chex ,1 serving (37.5 g),143 cal
Rice Krispies ,1 serving (37.5 g),146 cal
Scooters ,1 serving (37.5 g),136 cal
Shredded Wheat ,1 serving (37.5 g),126 cal
Shreddies ,1 serving (37.5 g),130 cal
Smart Start ,1 serving (37.5 g),137 cal
Special K ,1 serving (37.5 g),139 cal
Special K Chocolatey Delight ,1 serving (37.5 g),144 cal
Special K Protein Plus ,1 serving (37.5 g),139 cal
Special K Red Berries ,1 serving (37.5 g),128 cal
Sugar Puffs ,1 serving (37.5 g),140 cal
Toasties ,1 serving (37.5 g),134 cal
Trix ,1 serving (37.5 g),148 cal
Weet-Bix ,1 bix (15 g),53 cal
Weetabix ,1 serving (37.5 g),132 cal
Weetos ,1 serving (37.5 g),140 cal
