Name,Portion,Calories
Beef Brain ,1 piece (351 g),688 cal
Beef Heart ,3 oz. (85 g),140 cal
Beef Kidney ,3 oz. (85 g),134 cal
Beef Liver ,1 slice (68 g),130 cal
Beef Lung ,1 piece (303 g),364 cal
Beef Melt ,1 piece (222 g),602 cal
Beef Tongue ,3 oz. (85 g),241 cal
Calf Brain ,1 unit (339 g),461 cal
Calf Liver ,1 slice (80 g),154 cal
Calf Lung ,1 unit (300 g),312 cal
Calf Melt ,1 unit (240 g),614 cal
Chicken Giblets ,1 cup (145 g),402 cal
Chicken Heart ,1 heart (6.1 g),11 cal
Chicken Liver ,1 liver (44 g),76 cal
Chicken Stomach ,1 serving (100 g),148 cal
Chitterlings ,3 oz. (85 g),198 cal
Duck Liver ,1 liver (44 g),60 cal
Goose Liver ,1 liver (94 g),125 cal
Hog Maws ,3 oz. (85 g),133 cal
Pig Brain ,3 oz. (85 g),117 cal
Pig Heart ,1 heart (129 g),191 cal
Pig Kidney ,3 oz. (85 g),128 cal
Pig Lung ,1 unit (300 g),297 cal
Pork Liver ,3 oz. (85 g),140 cal
Pork Melt ,1 unit (245 g),537 cal
Pork Tongue ,1 tongue (231 g),626 cal
Turkey Giblets ,1 giblets (95 g),164 cal
Turkey Heart ,1 heart (20 g),35 cal
Turkey Liver ,1 liver (53 g),100 cal
Turkey Stomach ,1 serving (100 g),148 cal
Veal Heart ,1 unit (198 g),368 cal
Veal Kidney ,1 unit (184 g),300 cal
