Name,Portion,Calories
Almond Oil ,1 tbsp (14 ml),123 cal
Avocado Oil ,1 tbsp (14 ml),120 cal
Butter ,1 tbsp (15 g),108 cal
Canola Oil ,1 tbsp (14 ml),124 cal
Coconut Oil ,1 tbsp (14 ml),120 cal
Cod Liver Oil ,1 tbsp (14 ml),140 cal
Corn Oil ,1 tbsp (15 ml),120 cal
Cottonseed Oil ,1 tbsp (14 ml),123 cal
Flaxseed Oil ,1 tbsp (14 ml),124 cal
Ghee ,1 tbsp (14 g),17 cal
Goose Fat ,1 tbsp (13 g),117 cal
Grape Seed Oil ,1 tbsp (14 ml),124 cal
Hemp Oil ,1 tbsp (15 ml),121 cal
Herring Oil ,1 tbsp (14 ml),126 cal
I can\’t believe it\’s not Butter ,1 tbsp (14 g),50 cal
Lard ,1 tbsp (13 g),117 cal
Macadamia Oil ,1 tbsp (14 ml),115 cal
Margarine ,1 tbsp (14 g),100 cal
Mustard Oil ,1 tbsp (14 ml),124 cal
Olive Oil ,1 tbsp (15 ml),133 cal
Palm Oil ,1 tbsp (14 ml),123 cal
Peanut Oil ,1 tbsp (14 ml),120 cal
Real Butter ,1 tbsp (15 g),108 cal
Rice Bran Oil ,1 tbsp (14 ml),124 cal
Safflower Oil ,1 tbsp (14 ml),120 cal
Sardine Oil ,1 tbsp (14 ml),126 cal
Sesame Oil ,1 tbsp (14 ml),124 cal
Soybean Oil ,1 tbsp (14 ml),124 cal
Sunflower Oil ,1 tbsp (14 ml),124 cal
