Name,Portion,Calories
Cannelloni ,2 oz. (56 g),82 cal
Capellini ,2 oz. (56 g),198 cal
Cappelletti ,2 oz. (56 g),92 cal
Cellophane Noodles ,1 cup (140 g),491 cal
Cheese Tortellini ,1 cup (113 g),329 cal
Dampfnudel ,1 dampfnudel (85 g),233 cal
Dumpling Dough ,2 oz. (56 g),55 cal
Durum Wheat Semolina ,2 oz. (56 g),222 cal
Egg Noodles ,1 cup (38 g),146 cal
Farfalle ,2 oz. (56 g),200 cal
Fettuccine ,2 oz. (56 g),198 cal
Fusilli ,2 oz. (56 g),197 cal
Glass Noodles ,2 oz. (56 g),108 cal
Lasagne Sheets ,1 sheet (21 g),57 cal
Linguine ,2 oz. (56 g),200 cal
Low Carb Pasta ,2 oz. (56 g),158 cal
Macaroni ,1 cup (114 g),422 cal
Manicotti ,2 oz. (56 g),200 cal
Mostaccioli ,2 oz. (56 g),103 cal
Orecchiette ,2 oz. (56 g),207 cal
Orzo ,2 oz. (56 g),200 cal
Penne ,2 oz. (56 g),197 cal
Penne Rigate ,2 oz. (56 g),207 cal
Pierogi ,3 pierogi (100 g),200 cal
Ravioli ,2 oz. (56 g),43 cal
Rigatoni ,2 oz. (56 g),198 cal
Rotini ,2 oz. (56 g),198 cal
Shells ,1 cup (85 g),300 cal
Shirataki Noodles ,2 oz. (56 g),10 cal
Soy Noodles ,2 oz. (56 g),121 cal
Spaetzle ,2 oz. (56 g),206 cal
Spaghetti ,2 oz. (56 g),207 cal
Spinach Tortellini ,1 cup (102 g),320 cal
Spirelli ,2 oz. (56 g),206 cal
Tagliatelle ,2 oz. (56 g),207 cal
Tortellini ,1 cup (113 g),329 cal
Vermicelli ,2 oz. (56 g),206 cal
Whole Grain Noodles ,2 oz. (56 g),194 cal
Whole Grain Spaghetti ,2 oz. (56 g),197 cal
