Name,Portion,Calories
Apple Pie ,1 slice (125 g),296 cal
Apple Turnover ,1 turnover (82 g),285 cal
Bagel ,1 bagel (98 g),252 cal
Baguette ,1 slice (60 g),164 cal
Banana Bread ,1 oz. (28.4 g),91 cal
Banana Nut Bread ,1 piece (57 g),186 cal
Beer Bread ,1 slice (30 g),68 cal
Biscuit ,1 biscuit (58 g),156 cal
Black Bread ,1 slice (26 g),65 cal
Bran Muffins ,1 muffin (58 g),157 cal
Bread Pudding ,1 serving (100 g),153 cal
Breadsticks ,1 breadstick (5 g),20 cal
Brioche ,1 serving (77 g),266 cal
Brown Bread ,1 slice (30 g),74 cal
Brownies ,1 square (40 g),162 cal
Bun ,1 bun (38 g),120 cal
Cannoli ,1 serving (85 g),216 cal
Caramel Cake ,1 oz. (28.4 g),108 cal
Challah ,1 slice (23 g),65 cal
Chapati ,1 piece (50 g),120 cal
Ciabatta ,1 slice (20 g),54 cal
Cinnamon Bun ,1 bun (65 g),283 cal
Coffee Cake ,1 piece (76 g),318 cal
Conchas/Mexican Sweet Bread ,1 piece (82 g),289 cal
Cornbread ,1 oz. (28.4 g),50 cal
Crepes ,1 crepe (50 g),112 cal
Croissant ,1 croissant (57 g),231 cal
Crumpet ,1 crumpet (55 g),98 cal
Cupcakes ,1 cupcake (43 g),131 cal
Donut/Doughnut ,1 doughnut (45 g),189 cal
Dosa ,1 serving (50 g),105 cal
Empanada ,1 piece (89 g),298 cal
English Muffin ,1 muffin (57 g),129 cal
Flatbread ,1 slice (50 g),156 cal
Focaccia ,1 piece (57 g),142 cal
Garlic Bread ,1 slice (43 g),151 cal
Hot Dog Buns ,1 bun (43 g),120 cal
Italian Bread ,1 slice (30 g),81 cal
Latkes ,1 serving (74 g),140 cal
Matzo Bread ,1 matzo (28 g),98 cal
Monkey Bread ,1 piece (57 g),165 cal
Muffin ,1 muffin (71 g),210 cal
Multi-Grain Bread ,1 slice (26 g),69 cal
Naan ,1 naan (160 g),440 cal
Oatmeal Cookies ,1 cookie (25 g),113 cal
Oatmeal Raisin Cookies ,1 cookie (25 g),109 cal
Pan de Sal ,1 serving (50 g),147 cal
Pancake ,1 pancake (38 g),89 cal
Pandesal ,1 serving (50 g),147 cal
Panettone ,1 slice (27 g),86 cal
Pide ,1 pide (60 g),161 cal
Pie ,1 piece (125 g),296 cal
Pita Bread ,1 pita (50 g),138 cal
Potato Bread ,1 slice (32 g),85 cal
Pretzel ,1 pretzel (115 g),389 cal
Pretzel Roll ,1 roll (60 g),203 cal
Puff Pastry ,1 piece (47 g),262 cal
Pumpernickel ,1 pumpernickel (36 g),90 cal
Raisin Bread ,1 slice (32 g),88 cal
Roll ,1 roll (38 g),120 cal
Roti ,1 roti (43 g),114 cal
Rye Bread ,1 oz. (28.4 g),73 cal
Sandwich ,1 sandwich (83 g),252 cal
Sandwich Bread ,1 slice (26 g),65 cal
Scone ,1 scone (40 g),145 cal
Shortcrust Pastry ,1 serving (50 g),272 cal
Soda Bread ,1 oz. (28.4 g),81 cal
Soufflé ,1 cup (136 g),277 cal
Sourdough Bread ,1 slice (35 g),101 cal
Spanakopita ,1 piece (57 g),140 cal
Spice Cake ,1 piece (66 g),219 cal
Sweet Rolls ,1 roll (66 g),220 cal
Swiss Roll ,1 piece (32 g),100 cal
Toast ,1 slice (33 g),86 cal
Tortilla ,1 tortilla (49 g),146 cal
Tortilla Bread ,1 tortilla (68 g),180 cal
White Bread ,1 slice (28 g),67 cal
