Name,Portion,Calories
BBQ Chicken Pizza ,1 slice (132 g),309 cal
BBQ Pizza ,1 slice (140 g),314 cal
Beef Pizza ,1 slice (235 g),714 cal
Bianca Pizza ,1 slice (187 g),460 cal
Buffalo Chicken Pizza ,1 slice (238 g),600 cal
Calabrese Pizza ,1 slice (108 g),254 cal
Calzone ,1 calzone (364 g),841 cal
Capricciosa Pizza ,1 slice (74 g),192 cal
Cheese Pizza ,1 slice (63 g),168 cal
Chicken Pizza ,1 slice (132 g),309 cal
Deep Dish Pizza ,1 slice (118 g),313 cal
Dominos Philly Cheese Steak Pizza ,1 slice (159 g),356 cal
Four Cheese Pizza ,1 slice (113 g),250 cal
Goat Cheese Pizza ,1 slice (63 g),138 cal
Grilled Pizza ,1 slice (124 g),280 cal
Hawaiian Pizza ,1 slice (134 g),154 cal
Margherita Pizza ,1 slice (63 g),173 cal
Mozzarella Pizza ,1 slice (62 g),154 cal
Mushroom Pizza ,1 slice (288 g),611 cal
Napoli Pizza ,1 slice (123 g),248 cal
New York Style Pizza ,1 slice (103 g),174 cal
Pepperoni Pizza ,1 slice (71 g),181 cal
Pizza Dough ,2 oz. (57 g),130 cal
Pizza Hut Stuffed Crust Pizza ,1 slice (149 g),380 cal
Pizza Hut Supreme Pizza ,1 slice (123 g),305 cal
Pizza Rolls ,1 roll (14 g),35 cal
Quattro Formaggi Pizza ,1 slice (133 g),330 cal
Red Pepper Pizza ,1 slice (86 g),165 cal
Salami Pizza ,1 slice (71 g),181 cal
Sausage Pizza ,1 slice (72 g),177 cal
Seafood Pizza ,1 slice (76 g),186 cal
Shrimp Pizza ,1 slice (91 g),190 cal
Sicilian Pizza ,1 slice (133 g),321 cal
Spinach Feta Pizza ,1 slice (62 g),150 cal
Spinach Pizza ,1 slice (62 g),145 cal
Stuffed Crust Pizza ,1 slice (149 g),380 cal
Tarte Flambée ,1 square (56 g),142 cal
Thin Crust Pizza ,1 slice (60 g),157 cal
Tuna Pizza ,1 slice (125 g),318 cal
Vegetable Pizza ,1 slice (156 g),399 cal
Vegetarian Pizza ,1 slice (156 g),399 cal
Veggie Pizza ,1 slice (114 g),263 cal
