Name,Portion,Calories
Bacon ,1 slice (26 g),106 cal
Brawn ,1 slice (25 g),77 cal
Canadian-Style Bacon ,1 slice (56 g),60 cal
Chitterlings ,3 oz. (85 g),198 cal
Ground Pork ,4 oz. (112 g),295 cal
Hog Maws ,1 oz. (28 g),70 cal
Lard ,1 tbsp (13 g),117 cal
Meatloaf ,12 oz. (336 g),299 cal
Parma Ham ,1 serving (12 g),31 cal
Pig Ear ,1 ear (111 g),184 cal
Pig Fat ,1 oz. (28 g),179 cal
Pig’s Tail ,1 piece (275 g),1089 cal
Pig’s Trotter ,4 oz. (113 g),275 cal
Pork Bacon ,1 slice (26 g),106 cal
Pork Belly ,1 oz. (28 g),145 cal
Pork Blade Steak ,4 oz. (113 g),262 cal
Pork Chop ,1 chop  (158 g),194 cal
Pork Country-Style Ribs ,4 oz. (113 g),150 cal
Pork Crown Roast ,4 oz. (113 g),240 cal
Pork Cutlet ,1 package (283 g),371 cal
Pork Cutlets ,1 package (283 g),371 cal
Pork Leg ,1 piece (231 g),464 cal
Pork Loin ,1 piece (333 g),476 cal
Pork Meatloaf ,4 oz. (113 g),275 cal
Pork Ragout ,1 serving (361 g),264 cal
Pork Rib Roast ,4 oz. (113 g),180 cal
Pork Ribs ,3 oz. (85 g),248 cal
Pork Roast ,1 chop  (263 g),510 cal
Pork Sausage ,1 sausage (48 g),163 cal
Pork Shank ,1 oz. (28 g),48 cal
Pork Shoulder ,1 piece (262 g),705 cal
Pork Shoulder Blade ,4 oz. (113 g),262 cal
Pork Stomach ,1 oz. (28 g),70 cal
Rack of Pork ,4 oz. (113 g),272 cal
Salt Meat ,1 oz. (28 g),80 cal
Salt Pork ,1 oz. (28 g),80 cal
Serrano Ham ,2 oz. (56 g),190 cal
Spare Ribs ,3 oz. (85 g),337 cal
