Name,Portion,Calories
All-blue Potatoes ,1 potato (136 g),83 cal
Baked Potato ,1 potato (173 g),161 cal
Boiled Potatoes ,1 potato (136 g),118 cal
Cassava ,1 root (408 g),653 cal
Croquettes ,1 serving (138 g),175 cal
Dumpling Dough ,1 dumpling (40 g),50 cal
Dumplings ,1 dumpling (40 g),50 cal
French Fingerling Potatoes ,1 potato (136 g),112 cal
French Fries ,1 serving (117 g),365 cal
Fried Potatoes ,1 serving (117 g),365 cal
Gnocchi ,1 cup (188 g),250 cal
Japanese Sweet Potatoes ,1 potato (130 g),113 cal
Marrow Dumplings ,1 dumpling (136 g),577 cal
Mashed Potatoes ,1 cup (242 g),215 cal
Norland Red Potatoes ,1 potato (136 g),121 cal
Omelette ,1 omelette (61 g),94 cal
Potato ,1 potato (214 g),165 cal
Potato Dumpling ,1 dumpling (40 g),50 cal
Potato Fritter ,1 fritter (74 g),137 cal
Potato Gratin ,1 cup (245 g),323 cal
Potato Pancakes ,1 pancake (37 g),99 cal
Potato Salad ,1 cup (250 g),358 cal
Potato Starch ,1 tbsp (12 g),40 cal
Potato Sticks ,1/2 cup (18 g),94 cal
Potato Waffles ,1 waffle (57 g),95 cal
Potato Wedges ,1 serving (100 g),123 cal
Potatoes au Gratin ,1 cup (245 g),323 cal
Purple Majesty Potatoes ,1 potato (136 g),98 cal
Red Gold Potatoes ,1 potato (136 g),121 cal
Red Potatoes ,1 potato (173 g),154 cal
Roast Potatoes ,1 potato (136 g),203 cal
Rosemary Potatoes ,1 potato (173 g),161 cal
Russet Potatoes ,1 potato (173 g),168 cal
Russian Banana Potatoes ,1 potato (136 g),91 cal
Rösti ,1 roesti (100 g),138 cal
Sweet Potato ,1 potato (114 g),105 cal
White Potatoes ,1 potato (138 g),130 cal
Yams ,1 cup (136 g),158 cal
