Name,Portion,Calories
Capon ,1 capon (1418 g),3247 cal
Chicken ,1/2 chicken (334 g),731 cal
Chicken Breast ,1 breast (200 g),344 cal
Chicken Drumsticks ,1 drumstick (71 g),131 cal
Chicken Gizzards ,1 cup (145 g),223 cal
Chicken Legs ,1 leg (199 g),346 cal
Chicken Thighs ,1 thigh (111 g),254 cal
Chicken Wings ,1 wing (53 g),141 cal
Cornish Hens ,1 duck (257 g),666 cal
Dove ,1 serving (100 g),213 cal
Duck ,1/2 duck (634 g),2137 cal
Duck Breast ,1 breast (73 g),147 cal
Emu ,1 steak (394 g),599 cal
Goose ,1/2 goose (591 g),1803 cal
Guinea-Fowl ,1/2 guinea (345 g),545 cal
Ostrich ,1 serving (85 g),123 cal
Ostrich Meat ,1 serving (85 g),123 cal
Pheasant ,1 serving (100 g),239 cal
Pheasant Breast ,1/2 breast (182 g),242 cal
Pheasant Leg ,1 leg (107 g),256 cal
Pigeon ,1 pigeon (199 g),283 cal
Poularde ,1 serving (100 g),200 cal
Quail ,1 quail (92 g),209 cal
Quail Breast ,1 breast (56 g),69 cal
Rhea ,1 serving (100 g),160 cal
Turkey ,1 turkey (3812 g),7205 cal
Turkey Breast ,1/2 breast (864 g),1166 cal
Turkey Cutlet ,1 cutlet (113 g),214 cal
Turkey Drumsticks ,1 serving (100 g),208 cal
Turkey Legs ,1 leg (546 g),1136 cal
Turkey Steak ,1 steak (170 g),321 cal
Turkey Wings ,1 wing (24 g),53 cal
