Name,Portion,Calories
,1000 Island Dressing 1 tbsp (15 ml),56 cal
Ajvar ,1 tbsp (15 ml),3 cal
Arrabiata Sauce ,1 pot (350 g),126 cal
Balsamic Vinaigrette Dressing ,1 tbsp (16 ml),46 cal
Barbecue Sauce ,1 tbsp (15 g),23 cal
Bechamel Sauce ,1 tbsp (15 g),34 cal
Bernaise Sauce ,1 tbsp (15 g),62 cal
Blue Cheese Dressing ,1 tbsp (15 ml),80 cal
Bolognese ,1 cup (226 g),240 cal
Buttermilk Ranch Dressing ,1 tbsp (15 ml),80 cal
Caesar Dressing ,1 tbsp (15 ml),64 cal
Catalina Dressing ,1 tbsp (15 ml),42 cal
Chasseur Sauce ,1 tbsp (15 g),7 cal
Chili Sauce ,1 tbsp (18 g),20 cal
Cream Sauce ,1 cup (244 g),439 cal
Curry Ketchup ,1 tbsp (15 g),19 cal
Curry Sauce ,1 tbsp (17 g),4 cal
French Dressing ,1 tbsp (15 ml),9 cal
Gravy ,1 cup (233 g),123 cal
Greek Dressing ,1 tbsp (15 ml),70 cal
Hamburger Sauce ,1 tbsp (15 g),57 cal
Harissa ,1 tbsp (15 g),8 cal
Hollandaise Sauce ,1 tbsp (15 g),80 cal
Honey Mustard Dressing ,1 tbsp (16 ml),74 cal
Horseradish ,1 tbsp (15 g),7 cal
Italian Dressing ,1 tbsp (15 ml),44 cal
Ketchup ,1 tbsp (15 g),15 cal
Mayonnaise ,1 tbsp (13 g),90 cal
Mustard ,1 tsp (5 g),3 cal
Mustard Sauce ,1 tbsp (13 g),84 cal
Orange Sauce ,1 tbsp (15 g),27 cal
Pesto ,1 tbsp (15 g),69 cal
Ranch Dressing ,1 tbsp (15 ml),77 cal
Remoulade Sauce ,1 tbsp (13 g),83 cal
Russian Dressing ,1 tbsp (15 ml),60 cal
Salad Dressing ,1 tbsp (16 ml),72 cal
Sambal Oelek ,1 tsp (5 g),1 cal
Sesame Ginger Dressing ,1 tbsp (15 ml),70 cal
Sesame Paste ,1 tbsp (15 g),89 cal
Sour Cream ,1 tbsp (12 g),26 cal
Sour Cream Sauce ,1 tbsp (15 g),9 cal
Soy Sauce ,1 tbsp (15 ml),10 cal
Sweet and Sour Sauce ,1 tbsp (15 g),27 cal
Tabasco ,1 tsp (5 g),4 cal
Teriyaki Sauce ,1 tbsp (18 g),16 cal
Thai Curry Paste ,1 tbsp (15 g),23 cal
Tomato Paste ,1 tbsp (17 g),14 cal
Tomato Puree ,1 tbsp (15 g),6 cal
Tomato Sauce ,1 cup (245 g),59 cal
Tzatziki ,1 tbsp (15 g),14 cal
Vinaigrette ,1 tbsp (15 ml),18 cal
Worcestershire Sauce ,1 tbsp (15 ml),12 cal
Yogurt Dressing ,1 tbsp (15 ml),7 cal
