Name,Portion,Calories
Andouille ,1 link (85 g),197 cal
Bacon ,1 slice (26 g),106 cal
Black Pudding ,1 slice (25 g),95 cal
Blood Sausage ,1 slice (25 g),95 cal
Bockwurst ,1 sausage (91 g),274 cal
Boiled Ham ,1 serving (63 g),66 cal
Bologna ,1 slice (23 g),57 cal
Boudin ,1 oz. (28.35 g),54 cal
Bratwurst ,1 bratwurst (66 g),196 cal
Brawn ,1 slice (28 g),44 cal
Breakfast Sausage Links ,1 link (13 g),44 cal
Cheese Pastry ,1 pastry (71 g),266 cal
Chicken Breast ,1 slice (21 g),17 cal
Chicken Meat ,1 slice (21 g),17 cal
Chicken Salad ,1 serving (344 g),279 cal
Chorizo ,1 oz. (28.35 g),127 cal
Cooked Ham ,1 oz. (28.35 g),37 cal
Corned Beef ,1 slice (28 g),43 cal
Cumberland Sausage ,1 sausage (30 g),75 cal
Frankfurters ,1 frankfurter (45 g),137 cal
Garlic Sausage ,1 slice (13 g),22 cal
Hot Dogs ,1 hot dog (52 g),145 cal
Hot Sausage ,1 serving (55 g),142 cal
Italian Sausage ,1 link (84 g),125 cal
Jerky ,1 piece (20 g),82 cal
Kielbasa ,1 link (75 g),232 cal
Knackwurst ,1 link (72 g),221 cal
Landjaeger ,1 landjaeger (56.8 g),197 cal
Linguica ,1 oz. (28.35 g),79 cal
Liver Pate ,1 tbsp (13 g),41 cal
Liverwurst ,1 slice (18 g),59 cal
Luncheon Meat ,1 slice (9.3 g),11 cal
Mettwurst ,1 serving (28 g),87 cal
Mortadella ,1 slice (15 g),47 cal
Pastrami ,1 slice (29 g),39 cal
Pepperoni ,1 slice (2 g),10 cal
Polish Sausage ,1 serving (76 g),229 cal
Pork ,1 slice (21 g),52 cal
Pork Roll ,1 slice (43 g),130 cal
Prosciutto ,1 slice (9 g),18 cal
Ring Bologna ,1 oz. (28.35 g),80 cal
Salami ,1 slice (12.3 g),40 cal
Sausage ,1 sausage (16 g),37 cal
Smoked Sausage ,1 serving (76 g),229 cal
Souse ,1 slice (28 g),44 cal
Spam ,1 serving (56 g),176 cal
