Name,Portion,Calories
American Cheese ,1 slice (21 g),31 cal
Applewood ,1 slice (20 g),82 cal
Bergkäse ,1 slice (24 g),100 cal
Butter Cheese ,1 slice (26 g),101 cal
Cheddar ,1 slice (28 g),113 cal
Cheese Platter ,1 slice (28 g),100 cal
Cheese Slices ,1 slice (28 g),100 cal
Colby Cheese ,1 slice (28 g),110 cal
Colby-Jack Cheese ,1 slice (28 g),110 cal
Cold Pack Cheese ,1 tbsp (14 g),34 cal
Edam ,1 slice (28 g),100 cal
Edam Cheese ,1 slice (28 g),100 cal
Emmental ,1 slice (25 g),89 cal
Emmentaler ,1 slice (25 g),89 cal
Esrom (Cheese) ,1 slice (23 g),74 cal
Fol Epi ,1 slice (24 g),93 cal
Fresh Mozzarella ,1 slice (28 g),78 cal
Gouda ,1 slice (28 g),100 cal
Gouda Cheese ,1 slice (28 g),100 cal
Havarti ,1 slice (28 g),104 cal
Lacy Swiss Cheese ,1 slice (28 g),90 cal
Leerdammer ,1 slice (25 g),71 cal
Leerdammer Cheese ,1 slice (25 g),71 cal
Maasdam Cheese ,1 slice (18 g),62 cal
Monterey Jack Cheese ,1 slice (28 g),104 cal
Mozzarella ,1 slice (28 g),78 cal
Muenster Cheese ,1 slice (28 g),103 cal
Pepper Cheese ,1 slice (21 g),21 cal
Sandwich Cheese ,1 slice (21 g),31 cal
Smoked Cheese ,1 slice (20 g),82 cal
Tilsit ,1 slice (25 g),85 cal
White American ,1 slice (21 g),31 cal
White Cheddar ,1 cup (132 g),532 cal
