Name,Portion,Calories
,7up 12 fl. oz. (355 ml),156 cal
Barq’s ,12 fl. oz. (355 ml),163 cal
Bitter Lemon ,12 fl. oz. (355 ml),121 cal
Canada Dry Ginger Ale ,8 fl. oz. (240 ml),98 cal
Cherry Coke ,12 fl. oz. (355 ml),156 cal
Coke ,12 fl. oz. (355 ml),149 cal
Coke Zero ,12 fl. oz. (355 ml),0 cal
Diet Cherry Coke ,12 fl. oz. (355 ml),4 cal
Diet Coke ,12 fl. oz. (355 ml),4 cal
Diet Dr. Pepper ,12 fl. oz. (355 ml),0 cal
Diet Pepsi ,12 fl. oz. (355 ml),0 cal
Diet Sunkist ,12 fl. oz. (355 ml),0 cal
Dr. Brown’s ,12 fl. oz. (355 ml),188 cal
Dr. Pepper ,12 fl. oz. (355 ml),96 cal
Fanta ,12 fl. oz. (355 ml),138 cal
Fanta Zero ,12 fl. oz. (355 ml),0 cal
Five Alive ,12 fl. oz. (355 ml),124 cal
Fresca ,12 fl. oz. (355 ml),0 cal
Full Throttle ,8 fl. oz. (240 ml),264 cal
Fuze ,12 fl. oz. (355 ml),71 cal
Fuze Tea ,12 fl. oz. (355 ml),89 cal
Gatorade ,12 fl. oz. (355 ml),89 cal
Ginger Ale ,12 fl. oz. (355 ml),124 cal
Ice Tea ,12 fl. oz. (355 ml),96 cal
Jolt Cola ,8 fl. oz. (240 ml),106 cal
Kool-Aid ,8 fl. oz. (237 ml),62 cal
Lemonade ,12 fl. oz. (355 ml),149 cal
Mello Yello ,8 fl. oz. (240 ml),118 cal
Minute Maid ,8 fl. oz. (240 ml),110 cal
Minute Maid Light ,8 fl. oz. (240 ml),5 cal
Mug Root Beer ,8 fl. oz. (240 ml),101 cal
Orange Soda ,12 fl. oz. (355 ml),170 cal
Pepsi ,12 fl. oz. (355 ml),156 cal
Pibb Xtra ,12 fl. oz. (355 ml),142 cal
Powerade ,1 bottle (500 ml),600 cal
Schweppes Ginger Ale ,12 fl. oz. (355 ml),135 cal
Soda ,12 fl. oz. (355 ml),188 cal
Sprite ,12 fl. oz. (355 ml),131 cal
Sprite Zero ,12 fl. oz. (355 ml),0 cal
Squirt ,8 fl. oz. (240 ml),106 cal
Sunkist ,12 fl. oz. (355 ml),89 cal
Surge ,12 fl. oz. (355 ml),170 cal
TaB ,12 fl. oz. (355 ml),0 cal
Tonic Water ,12 fl. oz. (355 ml),124 cal
