Name,Portion,Calories
Alphabet Soup ,1 cup (248 g),62 cal
Bean Stew ,1 cup (252 g),335 cal
Beef Bouillon ,1 cup (240 g),7 cal
Beef Noodle Soup ,1 cup (244 g),83 cal
Beef Soup ,1 cup (213 g),70 cal
Bouillon ,1 cup (244 g),39 cal
Broccoli Cheese Soup ,1 can (303 g),264 cal
Broccoli Soup ,1 cup (237 g),206 cal
Cabbage Soup ,1 cup (245 g),69 cal
Carrot Ginger Soup ,1 serving (381 g),95 cal
Carrot Soup ,1 serving (381 g),95 cal
Chicken Bouillon ,1 cup (241 g),10 cal
Chicken Broth ,1 cup (244 g),39 cal
Chicken Gumbo Soup ,1 cup (244 g),56 cal
Chicken Noodle Soup ,1 cup (248 g),62 cal
Chicken Stock ,1 cup (244 g),39 cal
Chicken Vegetable Soup ,1 cup (248 g),77 cal
Chicken with Rice Soup ,1 cup (243 g),58 cal
Cream of Asparagus Soup ,1 cup (244 g),85 cal
Cream of Broccoli Soup ,1 serving (310 g),140 cal
Cream of Celery Soup ,1 cup (248 g),92 cal
Cream of Chicken Soup ,1 cup (244 g),117 cal
Cream of Mushroom Soup ,1 cup (248 g),97 cal
Cream of Onion Soup ,1 cup (244 g),107 cal
Cream of Potato Soup ,1 cup (244 g),73 cal
Creamy Chicken Noodle Soup ,1 cup (245 g),56 cal
French Onion Soup ,1 cup (243 g),56 cal
Golden Mushroom Soup ,1 cup (248 g),161 cal
Goulash ,1 serving (187 g),1887 cal
Instant Ramen ,1 package (85 g),371 cal
Lentil Soup ,1 cup (248 g),139 cal
Lobster Bisque Soup ,1 cup (248 g),248 cal
Meatball Soup ,1 cup (245 g),120 cal
Minestrone ,1 cup (241 g),82 cal
Mushroom Soup ,1 cup (244 g),85 cal
Noodle Soup ,1 cup (244 g),83 cal
Onion Soup ,1 cup (243 g),56 cal
Oxtail Soup ,1 cup (244 g),68 cal
Pea Soup ,1 cup (253 g),190 cal
Potato Soup ,1 serving (240 g),192 cal
Pumpkin Soup ,1 cup (245 g),71 cal
Ramen ,1 package (85 g),371 cal
Scotch Broth ,1 cup (241 g),80 cal
Succotash ,1 cup (192 g),221 cal
Thai Soup ,1 cup (245 g),147 cal
Tomato Rice Soup ,1 cup (247 g),116 cal
Tomato Soup ,1 cup (248 g),74 cal
Vegetable Beef Soup ,1 cup (244 g),76 cal
Vegetable Broth ,1 cup (235 g),12 cal
Vegetable Soup ,1 cup (241 g),67 cal
Vegetable Stock ,1 cup (235 g),12 cal
