Name,Portion,Calories
Almond Butter ,1 tbsp (16 g),98 cal
Apple Butter ,1 tbsp (17 g),29 cal
Applesauce ,1 cup (255 g),173 cal
Apricot Jam ,1 tbsp (20 g),50 cal
Blackberry Jam ,1 tbsp (20 g),50 cal
Blackcurrant Jam ,1 tbsp (20 g),50 cal
Blueberry Jam ,1 tbsp (20 g),50 cal
Cheese Spread ,1 tbsp (15 g),44 cal
Cherry Jam ,1 tbsp (20 g),50 cal
Chocolate Philadelphia ,1 serving (30 g),86 cal
Chocolate Spread ,1 tsp (12 g),65 cal
Cream Cheese ,1 cup (232 g),793 cal
Egg ,1 egg (56 g),54 cal
Grape Jelly ,1 tbsp (20 g),51 cal
Honey ,1 tbsp (21 g),64 cal
Jelly ,1 tbsp (20 g),56 cal
Jif Peanut Butter ,1 tbsp (16 g),93 cal
Liverwurst ,1 slice (18 g),55 cal
Margarine ,1 tbsp (14 g),100 cal
Marmite ,1 tsp (4 g),9 cal
Marshmallow Fluff ,1 tbsp (6 g),40 cal
Nutella ,1 serving (15 g),82 cal
Olive Spread ,1 serving (10 g),55 cal
Peanut Butter ,1 tbsp (16 g),94 cal
Peter Pan Peanut Butter ,1 tbsp (16 g),97 cal
Philadelphia Cream Cheese ,1 cup (232 g),793 cal
Plum Jam ,1 tbsp (20 g),50 cal
Pâté (,720),"), Pate 1 tbsp (13 g41 cal"
Salted Butter ,1 cup (227 g),1628 cal
Skippy Peanut Butter ,1 tbsp (16 g),95 cal
Smuckers Strawberry Jam ,1 tbsp (20 g),50 cal
Strawberry Jam ,1 tbsp (20 g),50 cal
Strawberry Jelly ,1 tbsp (20 g),50 cal
Sunbutter ,1 tbsp (16 g),99 cal
Sunflower Butter ,1 cup (227 g),1401 cal
Tapenade ,1 tbsp (15 g),35 cal
Unsalted Butter ,1 cup (227 g),1628 cal
Vegemite ,1 tsp (5 g),9 cal
