Name,Portion,Calories
Acerola ,1 acerola (4.8 g),1 cal
Asian Pear ,1 pear (178 g),75 cal
Avocado ,1 avocado (200 g),320 cal
Banana ,1 banana (125 g),111 cal
Breadfruit ,1/4 breadfruit (96 g),99 cal
Cantaloupe Melon ,1 wedge (69 g),23 cal
Casaba Melon ,1 wedge (125 g),35 cal
Cherimoya ,1 cherimoya (235 g),176 cal
Dragon Fruit ,1 dragonfruit (200 g),120 cal
Durian ,1 durian (602 g),885 cal
Feijoa ,1 feijoa (42 g),23 cal
Galia Melon ,1 melon (130 g),30 cal
Grapefruit ,1/2 grapefruit (123 g),52 cal
Guava ,1 guava (55 g),37 cal
Honeydew ,1 wedge (125 g),45 cal
Jackfruit ,1 cup (151 g),143 cal
Kiwi ,1 kiwi (183 g),112 cal
Kumquat ,1 kumquat (19 g),13 cal
Lychee ,1 lychee (10 g),7 cal
Mandarin Oranges ,1 madarin orange (90 g),48 cal
Mango ,1 mango (336 g),202 cal
Mangosteen ,1 serving (80 g),58 cal
Maracuya ,1 maracuya (18 g),17 cal
Maraschino Cherries ,1 cherry (5 g),8 cal
Muskmelon ,1 wedge (69 g),23 cal
Noni ,1 oz. (28.4 g),15 cal
Passion Fruit ,1 passion fruit (18 g),17 cal
Pineapple ,1 pineapple (905 g),453 cal
Pink Grapefruit ,1/2 grapefruit (123 g),52 cal
Plantain ,1 plantain (179 g),218 cal
Pomegranate ,1 pomegranate (282 g),234 cal
Pomelo ,1 pomelo (609 g),231 cal
Prickly Pear ,"1 pad, peeled (19 g)",8 cal
Rambutan ,1 rambutan (9 g),7 cal
Sapodilla ,1 sapodilla (170 g),141 cal
Soursop Fruit ,1 soursop fruit (625 g),413 cal
Star Fruit ,1 starfruit (91 g),28 cal
Tamarind ,1 tamarind (2 g),5 cal
