Name,Portion,Calories
Almond Oil ,1 tbsp (14 ml),123 cal
Apricot Kernel Oil ,1 tbsp (14 ml),124 cal
Argan Oil ,1 tbsp (14 ml),125 cal
Avocado Oil ,1 tbsp (14 ml),120 cal
Babassu Oil ,1 tbsp (14 ml),124 cal
Canola Oil ,1 tbsp (14 ml),124 cal
Coconut Oil ,1 tbsp (14 ml),120 cal
Corn Oil ,1 tbsp (15 ml),120 cal
Cottonseed Oil ,1 tbsp (14 ml),123 cal
Flaxseed Oil ,1 tbsp (14 ml),124 cal
Grape Seed Oil ,1 tbsp (14 ml),124 cal
Hazelnut Oil ,1 tbsp (14 ml),124 cal
Linseed Oil ,1 tbsp (14 ml),117 cal
Menhaden Oil ,1 tbsp (14 ml),128 cal
Mustard Oil ,1 tbsp (14 ml),124 cal
Oat Oil ,1 tbsp (14 ml),124 cal
Olive Oil ,1 tbsp (15 ml),120 cal
Palm Kernel Oil ,1 tbsp (14 ml),123 cal
Palm Oil ,1 tbsp (14 ml),123 cal
Peanut Oil ,1 tbsp (14 ml),120 cal
Poppy Seed Oil ,1 tbsp (14 ml),124 cal
Pumpkin Seed Oil ,1 tbsp (14 ml),123 cal
Rice Bran Oil ,1 tbsp (14 ml),124 cal
Safflower Oil ,1 tbsp (14 ml),120 cal
Salmon Oil ,1 tbsp (14 ml),128 cal
Sesame Oil ,1 tbsp (14 ml),124 cal
Shea Oil ,1 tbsp (14 ml),124 cal
Soy Oil ,1 tbsp (14 ml),123 cal
Sunflower Oil ,1 tbsp (14 ml),124 cal
Tomato Seed Oil ,1 tbsp (14 ml),124 cal
Vegetable Oil ,1 tbsp (15 ml),120 cal
Walnut Oil ,1 tbsp (14 ml),124 cal
