Name,Portion,Calories
Alligator ,1 piece (184 g),191 cal
Alligator Meat ,1 piece (340 g),789 cal
Antelope Meat ,1 piece (340 g),510 cal
Bear Meat ,1 piece (277 g),717 cal
Beaver Meat ,1 piece (313 g),664 cal
Bison ,1 piece (194 g),332 cal
Bison Meat ,1 piece (194 g),332 cal
Bison Sirloin ,1 piece (194 g),332 cal
Buffalo ,1 piece (340 g),445 cal
Buffalo Meat ,1 piece (340 g),445 cal
Caribou ,1 piece (102 g),162 cal
Goose ,1/2 goose (591 g),1407 cal
Goose Meat ,1/2 goose (591 g),1407 cal
Lamb ,1 piece (193 g),390 cal
Lamb Meat ,1 piece (193 g),390 cal
Mallard Duck Meat ,1 piece (265 g),559 cal
Mallard Meat ,1 piece (265 g),559 cal
Moose ,1 piece (340 g),456 cal
Moose Meat ,1 piece (340 g),456 cal
Mutton ,1 piece (240 g),562 cal
Mutton Meat ,1 oz. (28 g),66 cal
Ostrich ,1 patty (93 g),163 cal
Ostrich Meat ,1 piece (340 g),595 cal
Pheasant ,1 piece (169 g),404 cal
Pheasant Meat ,1 piece (169 g),404 cal
Rabbit ,1 piece (313 g),617 cal
Racoon ,1 piece (356 g),908 cal
Racoon Meat ,1 piece (399 g),1017 cal
Reindeer ,1 piece (340 g),680 cal
Reindeer Meat ,1 piece (340 g),680 cal
Squirrel ,1 piece (313 g),541 cal
Squirrel Meat ,1 piece (313 g),541 cal
Venison ,1 piece (157 g),257 cal
Venison Sirloin ,1 piece (340 g),537 cal
Wild Boar ,1 piece (340 g),544 cal
