Name,Portion,Calories
Activia ,1 container (113 g),84 cal
Activia Lemon ,1 container (113 g),113 cal
Activia Strawberry ,1 container (113 g),110 cal
Aloe Vera Yogurt ,1 container (227 g),193 cal
Ayran ,1 cup (200 ml),84 cal
Bircher Muesli Yogurt ,1 container (227 g),247 cal
Blueberry Yogurt ,1 container (227 g),238 cal
Cherry Yogurt ,1 container (227 g),220 cal
Chocolate Yogurt ,1 container (227 g),291 cal
Cream Yogurt ,1 container (113 g),140 cal
Creamy Yogurt ,1 container (227 g),204 cal
Diet Yogurt ,1 container (227 g),123 cal
Fruit Yogurt ,1 container (227 g),220 cal
Greek Yogurt ,1 container (150 g),80 cal
Low-Fat Yogurt ,1 container (227 g),143 cal
Mocca Yogurt ,1 container (227 g),227 cal
Organic Yogurt ,1 container (227 g),170 cal
Peach Yogurt ,1 container (113 g),110 cal
Plain Yogurt ,1 container (227 g),138 cal
Probiotic Yogurt ,1 container (113 g),90 cal
Skim Milk Yogurt ,1 container (227 g),127 cal
Stracciatella Yogurt ,1 container (227 g),316 cal
Strawberry Yogurt ,1 container (227 g),227 cal
Vanilla Yogurt ,1 container (227 g),229 cal
Yogurt ,1 container (227 g),138 cal
Yogurt Corner ,1 container (135 g),161 cal
Yoplait Boston Cream Pie ,1 container (170 g),153 cal
Yoplait French Vanilla ,1 container (170 g),170 cal
Yoplait Greek Blueberry ,1 container (170 g),170 cal
Yoplait Greek Coconut ,1 container (170 g),170 cal
Yoplait Greek Strawberry ,1 container (170 g),170 cal
Yoplait Greek Vanilla ,1 container (170 g),170 cal
Yoplait Harvest Peach ,1 container (170 g),170 cal
Yoplait Key Lime Pie ,1 container (170 g),170 cal
Yoplait Mango ,1 container (170 g),170 cal
Yoplait Mixed Berry ,1 container (170 g),170 cal
Yoplait Pina Colada ,1 container (170 g),170 cal
Yoplait Strawberry ,1 container (170 g),170 cal
Yoplait Strawberry Banana ,1 container (170 g),170 cal
